interview__key,sdd_hhid,itemcode,hh_l01,hh_l02a,hh_l02b,hh_l03
85-40-12-14,0496-001-002,MATTRESS,NO,,,
85-40-12-14,0496-001-002,"SPORTS & HOBBY EQUIPMENT, MUSICAL INSTRUMENTS, TOYS",NO,,,
85-40-12-14,0496-001-002,"FILM, FILM PROCESSING, CAMERA",NO,,,
85-40-12-14,0496-001-002,"BUILDING ITEMS - CEMENT, BRICKS, TIMBER, IRON SHEETS, TOOLS, ETC.",NO,,,
85-40-12-14,0496-001-002,COUNCIL RATES,NO,,,
85-40-12-14,0496-001-002,"INSURANCE - HEALTH (MASM, ETC.), AUTO,  HOME, LIFE",NO,,,
85-40-12-14,0496-001-002,LOSSES TO THEFT (VALUE OF ITEMS OR CASH LOST),NO,,,
85-40-12-14,0496-001-002,FINES OR LEGAL FEES,NO,,,
85-40-12-14,0496-001-002,BRIDE PRICE /MARRIAGE COSTS,YES,20000,,
85-40-12-14,0496-001-002,FUNERAL COSTS,YES,10000,,
85-40-12-14,0496-001-002,OTHER COSTS NOT STATED ELSEWHERE,NO,,,
85-40-12-14,0496-001-002,REPAIRS TO CONSUMER DURABLES,NO,,,
85-40-12-14,0496-001-002,"TAXES FOR INCOME, PROPERTY, ETC.",NO,,,
85-40-12-14,0496-001-002,REPAIRS & MAINTENANCE TO DWELLING,NO,,,
85-40-12-14,0496-001-002,GARMENTS FOR MEN,NO,,,
85-40-12-14,0496-001-002,GARMENTS FOR WOMEN,NO,,,
85-40-12-14,0496-001-002,GARMENTS FOR CHILDREN & BABIES,YES,20000,,
85-40-12-14,0496-001-002,FOOTWEAR FOR MEN,NO,,,
85-40-12-14,0496-001-002,FOOTWEAR FOR WOMEN,NO,,,
85-40-12-14,0496-001-002,FOOTWEAR FOR CHILDREN AND BABIES,YES,10000,,
85-40-12-14,0496-001-002,"WOOD POLES, BAMBOO",NO,,,
85-40-12-14,0496-001-002,GRASS FOR THATCHING ROOF OR OTHER USE,NO,,,
82-96-20-56,0497-001-001,"CARPET, RUGS, DRAPES, CURTAINS",NO,,,
82-96-20-56,0497-001-001,"LINEN - TOWELS, SHEETS, BLANKETS",YES,16000,,
82-96-20-56,0497-001-001,MAT - SLEEPING OR FOR DRYING MAIZE FLOUR,NO,,,
82-96-20-56,0497-001-001,MOSQUITO NET,NO,,,
82-96-20-56,0497-001-001,MATTRESS,NO,,,
82-96-20-56,0497-001-001,"SPORTS & HOBBY EQUIPMENT, MUSICAL INSTRUMENTS, TOYS",NO,,,
82-96-20-56,0497-001-001,"FILM, FILM PROCESSING, CAMERA",NO,,,
82-96-20-56,0497-001-001,"BUILDING ITEMS - CEMENT, BRICKS, TIMBER, IRON SHEETS, TOOLS, ETC.",YES,1022000,,
82-96-20-56,0497-001-001,COUNCIL RATES,NO,,,
82-96-20-56,0497-001-001,"INSURANCE - HEALTH (MASM, ETC.), AUTO,  HOME, LIFE",NO,,,
82-96-20-56,0497-001-001,LOSSES TO THEFT (VALUE OF ITEMS OR CASH LOST),NO,,,
82-96-20-56,0497-001-001,FINES OR LEGAL FEES,NO,,,
82-96-20-56,0497-001-001,BRIDE PRICE /MARRIAGE COSTS,YES,15000,,
82-96-20-56,0497-001-001,FUNERAL COSTS,YES,100000,,
82-96-20-56,0497-001-001,OTHER COSTS NOT STATED ELSEWHERE,NO,,,
82-96-20-56,0497-001-001,REPAIRS TO CONSUMER DURABLES,NO,,,
82-96-20-56,0497-001-001,"TAXES FOR INCOME, PROPERTY, ETC.",NO,,,
82-96-20-56,0497-001-001,REPAIRS & MAINTENANCE TO DWELLING,NO,,,
82-96-20-56,0497-001-001,GARMENTS FOR MEN,YES,200000,,
82-96-20-56,0497-001-001,GARMENTS FOR WOMEN,YES,250000,,
82-96-20-56,0497-001-001,GARMENTS FOR CHILDREN & BABIES,YES,300000,,
82-96-20-56,0497-001-001,FOOTWEAR FOR MEN,YES,100000,,
82-96-20-56,0497-001-001,FOOTWEAR FOR WOMEN,YES,150000,,
82-96-20-56,0497-001-001,FOOTWEAR FOR CHILDREN AND BABIES,YES,150000,,
82-96-20-56,0497-001-001,"WOOD POLES, BAMBOO",NO,,,
82-96-20-56,0497-001-001,GRASS FOR THATCHING ROOF OR OTHER USE,NO,,,
58-25-83-45,0497-001-003,"CARPET, RUGS, DRAPES, CURTAINS",YES,4000,,
58-25-83-45,0497-001-003,"LINEN - TOWELS, SHEETS, BLANKETS",YES,10000,,
58-25-83-45,0497-001-003,MAT - SLEEPING OR FOR DRYING MAIZE FLOUR,NO,,,
58-25-83-45,0497-001-003,MOSQUITO NET,NO,,,
58-25-83-45,0497-001-003,MATTRESS,NO,,,
58-25-83-45,0497-001-003,"SPORTS & HOBBY EQUIPMENT, MUSICAL INSTRUMENTS, TOYS",NO,,,
58-25-83-45,0497-001-003,"FILM, FILM PROCESSING, CAMERA",NO,,,
58-25-83-45,0497-001-003,"BUILDING ITEMS - CEMENT, BRICKS, TIMBER, IRON SHEETS, TOOLS, ETC.",NO,,,
58-25-83-45,0497-001-003,COUNCIL RATES,NO,,,
58-25-83-45,0497-001-003,"INSURANCE - HEALTH (MASM, ETC.), AUTO,  HOME, LIFE",NO,,,
58-25-83-45,0497-001-003,LOSSES TO THEFT (VALUE OF ITEMS OR CASH LOST),NO,,,
58-25-83-45,0497-001-003,FINES OR LEGAL FEES,NO,,,
58-25-83-45,0497-001-003,BRIDE PRICE /MARRIAGE COSTS,YES,10000,,
58-25-83-45,0497-001-003,FUNERAL COSTS,YES,5000,,
58-25-83-45,0497-001-003,OTHER COSTS NOT STATED ELSEWHERE,NO,,,
58-25-83-45,0497-001-003,REPAIRS TO CONSUMER DURABLES,NO,,,
58-25-83-45,0497-001-003,"TAXES FOR INCOME, PROPERTY, ETC.",NO,,,
58-25-83-45,0497-001-003,REPAIRS & MAINTENANCE TO DWELLING,NO,,,
58-25-83-45,0497-001-003,GARMENTS FOR MEN,YES,50000,,
58-25-83-45,0497-001-003,GARMENTS FOR WOMEN,YES,60000,,
58-25-83-45,0497-001-003,GARMENTS FOR CHILDREN & BABIES,YES,70000,,
58-25-83-45,0497-001-003,FOOTWEAR FOR MEN,YES,4000,,
58-25-83-45,0497-001-003,FOOTWEAR FOR WOMEN,YES,30000,,
58-25-83-45,0497-001-003,FOOTWEAR FOR CHILDREN AND BABIES,NO,,,
58-25-83-45,0497-001-003,"WOOD POLES, BAMBOO",NO,,,
58-25-83-45,0497-001-003,GRASS FOR THATCHING ROOF OR OTHER USE,NO,,,
86-35-99-27,0498-001-001,"CARPET, RUGS, DRAPES, CURTAINS",NO,,,
86-35-99-27,0498-001-001,"LINEN - TOWELS, SHEETS, BLANKETS",NO,,,
86-35-99-27,0498-001-001,MAT - SLEEPING OR FOR DRYING MAIZE FLOUR,NO,,,
86-35-99-27,0498-001-001,MOSQUITO NET,NO,,,
86-35-99-27,0498-001-001,MATTRESS,NO,,,
86-35-99-27,0498-001-001,"SPORTS & HOBBY EQUIPMENT, MUSICAL INSTRUMENTS, TOYS",NO,,,
86-35-99-27,0498-001-001,"FILM, FILM PROCESSING, CAMERA",NO,,,
86-35-99-27,0498-001-001,"BUILDING ITEMS - CEMENT, BRICKS, TIMBER, IRON SHEETS, TOOLS, ETC.",NO,,,
86-35-99-27,0498-001-001,COUNCIL RATES,NO,,,
86-35-99-27,0498-001-001,"INSURANCE - HEALTH (MASM, ETC.), AUTO,  HOME, LIFE",NO,,,
86-35-99-27,0498-001-001,LOSSES TO THEFT (VALUE OF ITEMS OR CASH LOST),NO,,,
86-35-99-27,0498-001-001,FINES OR LEGAL FEES,NO,,,
86-35-99-27,0498-001-001,BRIDE PRICE /MARRIAGE COSTS,NO,,,
86-35-99-27,0498-001-001,FUNERAL COSTS,NO,,,
86-35-99-27,0498-001-001,OTHER COSTS NOT STATED ELSEWHERE,NO,,,
86-35-99-27,0498-001-001,REPAIRS TO CONSUMER DURABLES,NO,,,
86-35-99-27,0498-001-001,"TAXES FOR INCOME, PROPERTY, ETC.",NO,,,
86-35-99-27,0498-001-001,REPAIRS & MAINTENANCE TO DWELLING,NO,,,
86-35-99-27,0498-001-001,GARMENTS FOR MEN,YES,33000,,
86-35-99-27,0498-001-001,GARMENTS FOR WOMEN,YES,10000,,
86-35-99-27,0498-001-001,GARMENTS FOR CHILDREN & BABIES,YES,15000,,
86-35-99-27,0498-001-001,FOOTWEAR FOR MEN,YES,4000,,
86-35-99-27,0498-001-001,FOOTWEAR FOR WOMEN,YES,3000,,
86-35-99-27,0498-001-001,FOOTWEAR FOR CHILDREN AND BABIES,YES,6000,,
86-35-99-27,0498-001-001,"WOOD POLES, BAMBOO",YES,,60000,60000
86-35-99-27,0498-001-001,GRASS FOR THATCHING ROOF OR OTHER USE,NO,,,
85-30-11-93,0498-001-006,"CARPET, RUGS, DRAPES, CURTAINS",YES,5000,,
85-30-11-93,0498-001-006,"LINEN - TOWELS, SHEETS, BLANKETS",NO,,,
85-30-11-93,0498-001-006,MAT - SLEEPING OR FOR DRYING MAIZE FLOUR,NO,,,
85-30-11-93,0498-001-006,MOSQUITO NET,NO,,,
85-30-11-93,0498-001-006,MATTRESS,NO,,,
85-30-11-93,0498-001-006,"SPORTS & HOBBY EQUIPMENT, MUSICAL INSTRUMENTS, TOYS",NO,,,
85-30-11-93,0498-001-006,"FILM, FILM PROCESSING, CAMERA",NO,,,
85-30-11-93,0498-001-006,"BUILDING ITEMS - CEMENT, BRICKS, TIMBER, IRON SHEETS, TOOLS, ETC.",NO,,,
85-30-11-93,0498-001-006,COUNCIL RATES,NO,,,
85-30-11-93,0498-001-006,"INSURANCE - HEALTH (MASM, ETC.), AUTO,  HOME, LIFE",NO,,,
85-30-11-93,0498-001-006,LOSSES TO THEFT (VALUE OF ITEMS OR CASH LOST),NO,,,
85-30-11-93,0498-001-006,FINES OR LEGAL FEES,NO,,,
85-30-11-93,0498-001-006,BRIDE PRICE /MARRIAGE COSTS,NO,,,
85-30-11-93,0498-001-006,FUNERAL COSTS,NO,,,
85-30-11-93,0498-001-006,OTHER COSTS NOT STATED ELSEWHERE,NO,,,
85-30-11-93,0498-001-006,REPAIRS TO CONSUMER DURABLES,NO,,,
85-30-11-93,0498-001-006,"TAXES FOR INCOME, PROPERTY, ETC.",NO,,,
85-30-11-93,0498-001-006,REPAIRS & MAINTENANCE TO DWELLING,NO,,,
85-30-11-93,0498-001-006,GARMENTS FOR MEN,YES,70000,,
85-30-11-93,0498-001-006,GARMENTS FOR WOMEN,YES,50000,,
85-30-11-93,0498-001-006,GARMENTS FOR CHILDREN & BABIES,YES,40000,,
85-30-11-93,0498-001-006,FOOTWEAR FOR MEN,YES,7000,,
85-30-11-93,0498-001-006,FOOTWEAR FOR WOMEN,YES,5000,,
85-30-11-93,0498-001-006,FOOTWEAR FOR CHILDREN AND BABIES,YES,7500,,
85-30-11-93,0498-001-006,"WOOD POLES, BAMBOO",YES,,45000,45000
85-30-11-93,0498-001-006,GRASS FOR THATCHING ROOF OR OTHER USE,NO,,,
24-45-26-49,0498-004-001,"CARPET, RUGS, DRAPES, CURTAINS",NO,,,
24-45-26-49,0498-004-001,"LINEN - TOWELS, SHEETS, BLANKETS",NO,,,
24-45-26-49,0498-004-001,MAT - SLEEPING OR FOR DRYING MAIZE FLOUR,NO,,,
24-45-26-49,0498-004-001,MOSQUITO NET,NO,,,
24-45-26-49,0498-004-001,MATTRESS,NO,,,
24-45-26-49,0498-004-001,"SPORTS & HOBBY EQUIPMENT, MUSICAL INSTRUMENTS, TOYS",NO,,,
24-45-26-49,0498-004-001,"FILM, FILM PROCESSING, CAMERA",NO,,,
24-45-26-49,0498-004-001,"BUILDING ITEMS - CEMENT, BRICKS, TIMBER, IRON SHEETS, TOOLS, ETC.",NO,,,
24-45-26-49,0498-004-001,COUNCIL RATES,NO,,,
24-45-26-49,0498-004-001,"INSURANCE - HEALTH (MASM, ETC.), AUTO,  HOME, LIFE",NO,,,
24-45-26-49,0498-004-001,LOSSES TO THEFT (VALUE OF ITEMS OR CASH LOST),NO,,,
24-45-26-49,0498-004-001,FINES OR LEGAL FEES,NO,,,
24-45-26-49,0498-004-001,BRIDE PRICE /MARRIAGE COSTS,YES,10000,,
24-45-26-49,0498-004-001,FUNERAL COSTS,YES,15000,,
24-45-26-49,0498-004-001,OTHER COSTS NOT STATED ELSEWHERE,NO,,,
24-45-26-49,0498-004-001,REPAIRS TO CONSUMER DURABLES,NO,,,
24-45-26-49,0498-004-001,"TAXES FOR INCOME, PROPERTY, ETC.",NO,,,
24-45-26-49,0498-004-001,REPAIRS & MAINTENANCE TO DWELLING,NO,,,
24-45-26-49,0498-004-001,GARMENTS FOR MEN,NO,,,
24-45-26-49,0498-004-001,GARMENTS FOR WOMEN,NO,,,
24-45-26-49,0498-004-001,GARMENTS FOR CHILDREN & BABIES,YES,20000,,
24-45-26-49,0498-004-001,FOOTWEAR FOR MEN,NO,,,
24-45-26-49,0498-004-001,FOOTWEAR FOR WOMEN,NO,,,
24-45-26-49,0498-004-001,FOOTWEAR FOR CHILDREN AND BABIES,NO,,,
24-45-26-49,0498-004-001,"WOOD POLES, BAMBOO",YES,,180000,180000
24-45-26-49,0498-004-001,GRASS FOR THATCHING ROOF OR OTHER USE,NO,,,
31-15-31-20,0499-001-001,"CARPET, RUGS, DRAPES, CURTAINS",NO,,,
31-15-31-20,0499-001-001,"LINEN - TOWELS, SHEETS, BLANKETS",NO,,,
31-15-31-20,0499-001-001,MAT - SLEEPING OR FOR DRYING MAIZE FLOUR,,,,
31-15-31-20,0499-001-001,MOSQUITO NET,,,,
31-15-31-20,0499-001-001,MATTRESS,,,,
31-15-31-20,0499-001-001,"SPORTS & HOBBY EQUIPMENT, MUSICAL INSTRUMENTS, TOYS",NO,,,
31-15-31-20,0499-001-001,"FILM, FILM PROCESSING, CAMERA",NO,,,
31-15-31-20,0499-001-001,"BUILDING ITEMS - CEMENT, BRICKS, TIMBER, IRON SHEETS, TOOLS, ETC.",NO,,,
31-15-31-20,0499-001-001,COUNCIL RATES,NO,,,
31-15-31-20,0499-001-001,"INSURANCE - HEALTH (MASM, ETC.), AUTO,  HOME, LIFE",NO,,,
31-15-31-20,0499-001-001,LOSSES TO THEFT (VALUE OF ITEMS OR CASH LOST),NO,,,
31-15-31-20,0499-001-001,FINES OR LEGAL FEES,NO,,,
31-15-31-20,0499-001-001,BRIDE PRICE /MARRIAGE COSTS,YES,20000,,
31-15-31-20,0499-001-001,FUNERAL COSTS,YES,10000,,
31-15-31-20,0499-001-001,OTHER COSTS NOT STATED ELSEWHERE,NO,,,
31-15-31-20,0499-001-001,REPAIRS TO CONSUMER DURABLES,NO,,,
31-15-31-20,0499-001-001,"TAXES FOR INCOME, PROPERTY, ETC.",NO,,,
31-15-31-20,0499-001-001,REPAIRS & MAINTENANCE TO DWELLING,NO,,,
31-15-31-20,0499-001-001,GARMENTS FOR MEN,YES,50000,,
31-15-31-20,0499-001-001,GARMENTS FOR WOMEN,YES,90000,,
31-15-31-20,0499-001-001,GARMENTS FOR CHILDREN & BABIES,YES,20000,,
31-15-31-20,0499-001-001,FOOTWEAR FOR MEN,YES,50000,,
31-15-31-20,0499-001-001,FOOTWEAR FOR WOMEN,YES,30000,,
31-15-31-20,0499-001-001,FOOTWEAR FOR CHILDREN AND BABIES,YES,20000,,
31-15-31-20,0499-001-001,"WOOD POLES, BAMBOO",NO,,,
31-15-31-20,0499-001-001,GRASS FOR THATCHING ROOF OR OTHER USE,NO,,,
51-60-75-13,0499-001-004,"CARPET, RUGS, DRAPES, CURTAINS",YES,5000,,
51-60-75-13,0499-001-004,"LINEN - TOWELS, SHEETS, BLANKETS",YES,6000,,
51-60-75-13,0499-001-004,MAT - SLEEPING OR FOR DRYING MAIZE FLOUR,NO,,,
51-60-75-13,0499-001-004,MOSQUITO NET,NO,,,
51-60-75-13,0499-001-004,MATTRESS,NO,,,
51-60-75-13,0499-001-004,"SPORTS & HOBBY EQUIPMENT, MUSICAL INSTRUMENTS, TOYS",NO,,,
51-60-75-13,0499-001-004,"FILM, FILM PROCESSING, CAMERA",NO,,,
51-60-75-13,0499-001-004,"BUILDING ITEMS - CEMENT, BRICKS, TIMBER, IRON SHEETS, TOOLS, ETC.",NO,,,
51-60-75-13,0499-001-004,COUNCIL RATES,NO,,,
51-60-75-13,0499-001-004,"INSURANCE - HEALTH (MASM, ETC.), AUTO,  HOME, LIFE",NO,,,
51-60-75-13,0499-001-004,LOSSES TO THEFT (VALUE OF ITEMS OR CASH LOST),NO,,,
51-60-75-13,0499-001-004,FINES OR LEGAL FEES,NO,,,
51-60-75-13,0499-001-004,BRIDE PRICE /MARRIAGE COSTS,NO,,,
51-60-75-13,0499-001-004,FUNERAL COSTS,NO,,,
51-60-75-13,0499-001-004,OTHER COSTS NOT STATED ELSEWHERE,NO,,,
51-60-75-13,0499-001-004,REPAIRS TO CONSUMER DURABLES,NO,,,
51-60-75-13,0499-001-004,"TAXES FOR INCOME, PROPERTY, ETC.",NO,,,
51-60-75-13,0499-001-004,REPAIRS & MAINTENANCE TO DWELLING,YES,70000,,
51-60-75-13,0499-001-004,GARMENTS FOR MEN,NO,,,
51-60-75-13,0499-001-004,GARMENTS FOR WOMEN,YES,45000,,
51-60-75-13,0499-001-004,GARMENTS FOR CHILDREN & BABIES,YES,40000,,
51-60-75-13,0499-001-004,FOOTWEAR FOR MEN,NO,,,
51-60-75-13,0499-001-004,FOOTWEAR FOR WOMEN,YES,10000,,
51-60-75-13,0499-001-004,FOOTWEAR FOR CHILDREN AND BABIES,YES,7000,,
51-60-75-13,0499-001-004,"WOOD POLES, BAMBOO",NO,,,
51-60-75-13,0499-001-004,GRASS FOR THATCHING ROOF OR OTHER USE,NO,,,
98-78-01-38,0499-004-002,"CARPET, RUGS, DRAPES, CURTAINS",NO,,,
98-78-01-38,0499-004-002,"LINEN - TOWELS, SHEETS, BLANKETS",NO,,,
98-78-01-38,0499-004-002,MAT - SLEEPING OR FOR DRYING MAIZE FLOUR,NO,,,
98-78-01-38,0499-004-002,MOSQUITO NET,NO,,,
98-78-01-38,0499-004-002,MATTRESS,NO,,,
98-78-01-38,0499-004-002,"SPORTS & HOBBY EQUIPMENT, MUSICAL INSTRUMENTS, TOYS",NO,,,
98-78-01-38,0499-004-002,"FILM, FILM PROCESSING, CAMERA",NO,,,
98-78-01-38,0499-004-002,"BUILDING ITEMS - CEMENT, BRICKS, TIMBER, IRON SHEETS, TOOLS, ETC.",YES,150000,,
98-78-01-38,0499-004-002,COUNCIL RATES,NO,,,
98-78-01-38,0499-004-002,"INSURANCE - HEALTH (MASM, ETC.), AUTO,  HOME, LIFE",NO,,,
98-78-01-38,0499-004-002,LOSSES TO THEFT (VALUE OF ITEMS OR CASH LOST),NO,,,
98-78-01-38,0499-004-002,FINES OR LEGAL FEES,NO,,,
98-78-01-38,0499-004-002,BRIDE PRICE /MARRIAGE COSTS,NO,,,
98-78-01-38,0499-004-002,FUNERAL COSTS,YES,10000,,
98-78-01-38,0499-004-002,OTHER COSTS NOT STATED ELSEWHERE,NO,,,
98-78-01-38,0499-004-002,REPAIRS TO CONSUMER DURABLES,NO,,,
98-78-01-38,0499-004-002,"TAXES FOR INCOME, PROPERTY, ETC.",NO,,,
98-78-01-38,0499-004-002,REPAIRS & MAINTENANCE TO DWELLING,NO,,,
98-78-01-38,0499-004-002,GARMENTS FOR MEN,YES,15000,,
98-78-01-38,0499-004-002,GARMENTS FOR WOMEN,YES,30000,,
98-78-01-38,0499-004-002,GARMENTS FOR CHILDREN & BABIES,YES,45000,,
98-78-01-38,0499-004-002,FOOTWEAR FOR MEN,YES,20000,,
98-78-01-38,0499-004-002,FOOTWEAR FOR WOMEN,YES,15000,,
98-78-01-38,0499-004-002,FOOTWEAR FOR CHILDREN AND BABIES,YES,25000,,
98-78-01-38,0499-004-002,"WOOD POLES, BAMBOO",NO,,,
98-78-01-38,0499-004-002,GRASS FOR THATCHING ROOF OR OTHER USE,NO,,,
66-76-23-69,0500-001-001,"CARPET, RUGS, DRAPES, CURTAINS",NO,,,
66-76-23-69,0500-001-001,"LINEN - TOWELS, SHEETS, BLANKETS",NO,,,
66-76-23-69,0500-001-001,MAT - SLEEPING OR FOR DRYING MAIZE FLOUR,NO,,,
66-76-23-69,0500-001-001,MOSQUITO NET,NO,,,
66-76-23-69,0500-001-001,MATTRESS,NO,,,
66-76-23-69,0500-001-001,"SPORTS & HOBBY EQUIPMENT, MUSICAL INSTRUMENTS, TOYS",NO,,,
66-76-23-69,0500-001-001,"FILM, FILM PROCESSING, CAMERA",NO,,,
66-76-23-69,0500-001-001,"BUILDING ITEMS - CEMENT, BRICKS, TIMBER, IRON SHEETS, TOOLS, ETC.",NO,,,
66-76-23-69,0500-001-001,COUNCIL RATES,NO,,,
66-76-23-69,0500-001-001,"INSURANCE - HEALTH (MASM, ETC.), AUTO,  HOME, LIFE",NO,,,
66-76-23-69,0500-001-001,LOSSES TO THEFT (VALUE OF ITEMS OR CASH LOST),NO,,,
66-76-23-69,0500-001-001,FINES OR LEGAL FEES,NO,,,
66-76-23-69,0500-001-001,BRIDE PRICE /MARRIAGE COSTS,NO,,,
66-76-23-69,0500-001-001,FUNERAL COSTS,NO,,,
66-76-23-69,0500-001-001,OTHER COSTS NOT STATED ELSEWHERE,NO,,,
66-76-23-69,0500-001-001,REPAIRS TO CONSUMER DURABLES,NO,,,
66-76-23-69,0500-001-001,"TAXES FOR INCOME, PROPERTY, ETC.",NO,,,
66-76-23-69,0500-001-001,REPAIRS & MAINTENANCE TO DWELLING,NO,,,
66-76-23-69,0500-001-001,GARMENTS FOR MEN,YES,40000,,
66-76-23-69,0500-001-001,GARMENTS FOR WOMEN,YES,30000,,
66-76-23-69,0500-001-001,GARMENTS FOR CHILDREN & BABIES,NO,,,
66-76-23-69,0500-001-001,FOOTWEAR FOR MEN,YES,20000,,
66-76-23-69,0500-001-001,FOOTWEAR FOR WOMEN,YES,15000,,
66-76-23-69,0500-001-001,FOOTWEAR FOR CHILDREN AND BABIES,NO,,,
66-76-23-69,0500-001-001,"WOOD POLES, BAMBOO",YES,,15000,15000
66-76-23-69,0500-001-001,GRASS FOR THATCHING ROOF OR OTHER USE,NO,,,
81-34-91-83,0501-001-001,"CARPET, RUGS, DRAPES, CURTAINS",NO,,,
81-34-91-83,0501-001-001,"LINEN - TOWELS, SHEETS, BLANKETS",NO,,,
81-34-91-83,0501-001-001,MAT - SLEEPING OR FOR DRYING MAIZE FLOUR,NO,,,
81-34-91-83,0501-001-001,MOSQUITO NET,NO,,,
81-34-91-83,0501-001-001,MATTRESS,NO,,,
81-34-91-83,0501-001-001,"SPORTS & HOBBY EQUIPMENT, MUSICAL INSTRUMENTS, TOYS",NO,,,
81-34-91-83,0501-001-001,"FILM, FILM PROCESSING, CAMERA",NO,,,
81-34-91-83,0501-001-001,"BUILDING ITEMS - CEMENT, BRICKS, TIMBER, IRON SHEETS, TOOLS, ETC.",NO,,,
81-34-91-83,0501-001-001,COUNCIL RATES,NO,,,
81-34-91-83,0501-001-001,"INSURANCE - HEALTH (MASM, ETC.), AUTO,  HOME, LIFE",NO,,,
81-34-91-83,0501-001-001,LOSSES TO THEFT (VALUE OF ITEMS OR CASH LOST),NO,,,
81-34-91-83,0501-001-001,FINES OR LEGAL FEES,NO,,,
81-34-91-83,0501-001-001,BRIDE PRICE /MARRIAGE COSTS,NO,,,
81-34-91-83,0501-001-001,FUNERAL COSTS,NO,,,
81-34-91-83,0501-001-001,OTHER COSTS NOT STATED ELSEWHERE,NO,,,
81-34-91-83,0501-001-001,REPAIRS TO CONSUMER DURABLES,NO,,,
81-34-91-83,0501-001-001,"TAXES FOR INCOME, PROPERTY, ETC.",NO,,,
81-34-91-83,0501-001-001,REPAIRS & MAINTENANCE TO DWELLING,NO,,,
81-34-91-83,0501-001-001,GARMENTS FOR MEN,NO,,,
81-34-91-83,0501-001-001,GARMENTS FOR WOMEN,YES,24000,,
81-34-91-83,0501-001-001,GARMENTS FOR CHILDREN & BABIES,YES,22000,,
81-34-91-83,0501-001-001,FOOTWEAR FOR MEN,YES,12000,,
81-34-91-83,0501-001-001,FOOTWEAR FOR WOMEN,YES,6000,,
81-34-91-83,0501-001-001,FOOTWEAR FOR CHILDREN AND BABIES,YES,9000,,
81-34-91-83,0501-001-001,"WOOD POLES, BAMBOO",YES,,40000,40000
81-34-91-83,0501-001-001,GRASS FOR THATCHING ROOF OR OTHER USE,NO,,,
94-06-30-25,0502-001-002,"CARPET, RUGS, DRAPES, CURTAINS",YES,4000,,
94-06-30-25,0502-001-002,"LINEN - TOWELS, SHEETS, BLANKETS",NO,,,
94-06-30-25,0502-001-002,MAT - SLEEPING OR FOR DRYING MAIZE FLOUR,NO,,,
94-06-30-25,0502-001-002,MOSQUITO NET,NO,,,
94-06-30-25,0502-001-002,MATTRESS,NO,,,
94-06-30-25,0502-001-002,"SPORTS & HOBBY EQUIPMENT, MUSICAL INSTRUMENTS, TOYS",NO,,,
94-06-30-25,0502-001-002,"FILM, FILM PROCESSING, CAMERA",NO,,,
94-06-30-25,0502-001-002,"BUILDING ITEMS - CEMENT, BRICKS, TIMBER, IRON SHEETS, TOOLS, ETC.",NO,,,
94-06-30-25,0502-001-002,COUNCIL RATES,NO,,,
94-06-30-25,0502-001-002,"INSURANCE - HEALTH (MASM, ETC.), AUTO,  HOME, LIFE",NO,,,
94-06-30-25,0502-001-002,LOSSES TO THEFT (VALUE OF ITEMS OR CASH LOST),NO,,,
94-06-30-25,0502-001-002,FINES OR LEGAL FEES,NO,,,
94-06-30-25,0502-001-002,BRIDE PRICE /MARRIAGE COSTS,NO,,,
94-06-30-25,0502-001-002,FUNERAL COSTS,NO,,,
94-06-30-25,0502-001-002,OTHER COSTS NOT STATED ELSEWHERE,NO,,,
94-06-30-25,0502-001-002,REPAIRS TO CONSUMER DURABLES,NO,,,
94-06-30-25,0502-001-002,"TAXES FOR INCOME, PROPERTY, ETC.",NO,,,
94-06-30-25,0502-001-002,REPAIRS & MAINTENANCE TO DWELLING,NO,,,
94-06-30-25,0502-001-002,GARMENTS FOR MEN,YES,30000,,
94-06-30-25,0502-001-002,GARMENTS FOR WOMEN,YES,30000,,
94-06-30-25,0502-001-002,GARMENTS FOR CHILDREN & BABIES,YES,50000,,
94-06-30-25,0502-001-002,FOOTWEAR FOR MEN,YES,3500,,
94-06-30-25,0502-001-002,FOOTWEAR FOR WOMEN,YES,4000,,
94-06-30-25,0502-001-002,FOOTWEAR FOR CHILDREN AND BABIES,YES,7500,,
94-06-30-25,0502-001-002,"WOOD POLES, BAMBOO",YES,,50000,50000
94-06-30-25,0502-001-002,GRASS FOR THATCHING ROOF OR OTHER USE,NO,,,
99-52-98-92,0502-004-001,"CARPET, RUGS, DRAPES, CURTAINS",NO,,,
99-52-98-92,0502-004-001,"LINEN - TOWELS, SHEETS, BLANKETS",NO,,,
99-52-98-92,0502-004-001,MAT - SLEEPING OR FOR DRYING MAIZE FLOUR,NO,,,
99-52-98-92,0502-004-001,MOSQUITO NET,NO,,,
99-52-98-92,0502-004-001,MATTRESS,NO,,,
99-52-98-92,0502-004-001,"SPORTS & HOBBY EQUIPMENT, MUSICAL INSTRUMENTS, TOYS",NO,,,
99-52-98-92,0502-004-001,"FILM, FILM PROCESSING, CAMERA",NO,,,
99-52-98-92,0502-004-001,"BUILDING ITEMS - CEMENT, BRICKS, TIMBER, IRON SHEETS, TOOLS, ETC.",NO,,,
99-52-98-92,0502-004-001,COUNCIL RATES,NO,,,
99-52-98-92,0502-004-001,"INSURANCE - HEALTH (MASM, ETC.), AUTO,  HOME, LIFE",NO,,,
99-52-98-92,0502-004-001,LOSSES TO THEFT (VALUE OF ITEMS OR CASH LOST),NO,,,
