interview__key,sdd_hhid,plotnum,plotname,plotid_nps4,ag3a_desc,ag3a_02_1,ag3a_02_2,ag3a_02_3,ag3a_03,ag3a_04,ag3a_07,ag3a_08a_1,ag3a_08a_2,ag3a_08b_1,ag3a_08b_2,ag3a_08b_3,ag3a_08c1,ag3a_08c2,ag3a_09a_1,ag3a_09a_2,ag3a_09b_1,ag3a_09b_2,ag3a_09b_3,ag3a_09c1,ag3a_09c2,ag3a_10,ag3a_11,ag3a_12,ag3a_13,ag3a_14,ag3a_15,ag3a_16_1,ag3a_16_2,ag3a_17,ag3a_18,ag3a_19,ag3a_20,ag3a_21,ag3a_22,ag3a_23,ag3a_24,ag3a_25,ag3a_26_1,ag3a_26_2,ag3a_27,ag3a_28a,ag3a_28b,ag3a_28c,ag3a_28d,ag3a_29_1,ag3a_29_2,ag3a_30,ag3a_31_1,ag3a_31_2,ag3a_31a,ag3a_32_1,ag3a_32_2,ag3a_33,ag3a_34_1,ag3a_34_2,ag3a_35,ag3a_36_1,ag3a_36_2,ag3a_37_1,ag3a_37_2,ag3a_38,ag3a_38a,ag3a_39,ag3a_40,ag3a_41,ag3a_42,ag3a_43,ag3a_44,ag3a_45,ag3a_46_1,ag3a_46_2,ag3a_47,ag3a_48,ag3a_49,ag3a_51,ag3a_52,ag3a_53_1,ag3a_53_2,ag3a_54,ag3a_55,ag3a_56,ag3a_58,ag3a_59_1,ag3a_59_2,ag3a_60,ag3a_62_1,ag3a_62_2,ag3a_63,ag3a_64,ag3a_65_1,ag3a_65_2,ag3a_65a,ag3a_65b_1,ag3a_65b_2,ag3a_65c,ag3a_65d,ag3a_65e_1,ag3a_65e_2,ag3a_66,ag3a_67_1,ag3a_67_2,ag3a_67_3,ag3a_67_4,ag3a_68,ag3a_69,ag3a_70_1,ag3a_70_2,ag3a_71_1,ag3a_71_2,ag3a_71a,ag3a_71b,ag3a_72a,ag3a_72b_1,ag3a_72b_2,ag3a_72b_3,ag3a_72b_4,ag3a_72b_5,ag3a_72b_6,ag3a_72b_7,ag3a_72b_8,ag3a_72b_9,ag3a_72b_10,ag3a_72e,ag3a_72f_1,ag3a_72f_2,ag3a_72f_3,ag3a_72f_4,ag3a_72f_5,ag3a_72f_6,ag3a_72f_7,ag3a_72f_8,ag3a_72f_9,ag3a_72f_10,ag3a_72i,ag3a_72j_1,ag3a_72j_2,ag3a_72j_3,ag3a_72j_4,ag3a_72j_5,ag3a_72j_6,ag3a_72j_7,ag3a_72j_8,ag3a_72j_9,ag3a_72j_10,ag3a_73,ag3a_74_1a,ag3a_74_1b,ag3a_74_1c,ag3a_74_1d,ag3a_74_2a,ag3a_74_2b,ag3a_74_2c,ag3a_74_2d,ag3a_74_3a,ag3a_74_3b,ag3a_74_3c,ag3a_74_3d,ag3a_76,ag3a_77,ag3a_78,ag3a_79,ag3a_80,ag3a_81,ag3a_82,ag3a_83,ag3a_84,ag3a_85
03-49-85-68,0437-001-001,3,**CONFIDENTIAL**,M3,**CONFIDENTIAL**,4,4,6,CULTIVATED,,1,YES,NO,1,,,,,YES,NO,1,,,,,LOAM,AVERAGE,OWN EXPERIENCE,YES,RAIN,NO,,,SLIGHTLY SLOPED,NO,,,,NEVER,,250000,PURCHASED,,,,CERTIFICATE OF CUSTOMARY RIGHTS  OF OCCUPANCY,,,NO DOCUMENTATION,1,,YES,1,,NO,,,,,,,,,,,2010,NO,NO,,NO,,,,,,,NO,,,,,,,,,,,,,NO,,,,,,,NO,,,,,,,NO,,,,,,,,,,,NO,NO,YES,1,,,,,,,,,,YES,1,,,,,,,,,,YES,1,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,NO,,YES,,OTHER (SPECIFY)
40-38-17-08,0438-001-002,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,0,0,2,CULTIVATED,,1,YES,NO,4,,,,,YES,NO,4,,,,,LOAM,AVERAGE,OWN EXPERIENCE,NO,,NO,,,SLIGHTLY SLOPED,NO,,,,NEVER,,3000000,INHERITANCE,,,,NO CERTIFICATE,YES,YES,NO DOCUMENTATION,2,4,YES,2,4,YES,,,,,,,,,,,2016,NO,YES,,NO,,,,,,,YES,DI-AMMOIUM PHOSPHATE (DAP),12,16000,OWN EXPERIENCE,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,YES,UREA,25,45000,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,NO,,,,,,,NO,,,,,,,NO,,,,,,,,,,,NO,NO,YES,2,4,,,,,,,,,YES,2,3,4,,,,,,,,YES,3,4,,,,,,,,,NO,,,,,,,,,,,,,,,,,,NO,,YES,,FALLOW
40-38-17-08,0438-001-002,2,**CONFIDENTIAL**,M2,**CONFIDENTIAL**,2,1,3,GIVEN OUT,,,,,,,,,,,,,,,,,LOAM,AVERAGE,OWN EXPERIENCE,NO,,NO,,,SLIGHTLY SLOPED,NO,,,,NEVER,,500000,INHERITANCE,,,,NO CERTIFICATE,YES,YES,NO DOCUMENTATION,2,4,YES,2,4,NO,,,,,,,,,,,2016,NO,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,YES,,GIVEN
32-43-99-10,0438-002-001,2,**CONFIDENTIAL**,,**CONFIDENTIAL**,0,0,0,OTHER (SPECIFY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEVER,,0,RENTED IN,,,,,,,NO DOCUMENTATION,,,,,,,,,HAKUNA MALIPO YOYOTE,,,NONE,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,1,2,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,YES,,OTHER (SPECIFY)
32-43-99-10,0438-002-001,3,**CONFIDENTIAL**,,**CONFIDENTIAL**,8,2,12,CULTIVATED,,17,YES,NO,2,,,,,YES,NO,2,,,,,LOAM,GOOD,OTHER (SPECIFY),NO,,NO,,,SLIGHTLY SLOPED,NO,,,,NEVER,,50000,RENTED IN,,,,,,,NO DOCUMENTATION,,,,,,,,,10000,12,MONTHS,NONE,JIRANI,NDANI YA KIJIJI/MJI,2,,,,NO,,NO,,,,,,,NO,,,,,,,,,,,,,NO,,,,,,,NO,,,,,,,NO,,,,,,,,,,,NO,NO,YES,2,,,,,,,,,,YES,2,,,,,,,,,,YES,2,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,NO,,NO,STOPPED RENTING/SHARECROPPING,
39-42-81-55,0439-001-001,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,0,0,1,GIVEN OUT,,,,,,,,,,,,,,,,,LOAM,AVERAGE,OWN EXPERIENCE,NO,,NO,,,SLIGHTLY SLOPED,NO,,,,NEVER,,300000,INHERITANCE,,,,NO CERTIFICATE,YES,YES,NO DOCUMENTATION,1,2,YES,1,,NO,,,,,,,,,,,1994,NO,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,YES,,GIVEN
39-42-81-55,0439-001-001,2,**CONFIDENTIAL**,M2,**CONFIDENTIAL**,2,0.5,2,OTHER (SPECIFY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEVER,,800000,PURCHASED,,,,NO CERTIFICATE,YES,YES,NO DOCUMENTATION,1,,YES,1,,NO,,,,,,,,,,,2007,NO,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,YES,,OTHER (SPECIFY)
39-42-81-55,0439-001-001,3,**CONFIDENTIAL**,M3,**CONFIDENTIAL**,5,0,6,OTHER (SPECIFY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEVER,,800000,PURCHASED,,,,NO CERTIFICATE,YES,YES,NO DOCUMENTATION,1,,YES,1,,NO,,,,,,,,,,,1997,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,YES,,OTHER (SPECIFY)
39-42-81-55,0439-001-001,4,**CONFIDENTIAL**,M4,**CONFIDENTIAL**,5,0,3,CULTIVATED,,1,YES,NO,1,2,,,,YES,NO,1,2,,,,LOAM,AVERAGE,OWN EXPERIENCE,NO,,NO,,,SLIGHTLY SLOPED,NO,,,,NEVER,,2000000,INHERITANCE,,,,NO CERTIFICATE,YES,YES,NO DOCUMENTATION,1,2,YES,1,2,YES,,,,,,,,,,,2004,NO,YES,,NO,,,,,,,NO,,,,,,,,,,,,,NO,,,,,,,NO,,,,,,,NO,,,,,,,,,,,NO,NO,YES,1,2,,,,,,,,,YES,2,,,,,,,,,,YES,1,2,,,,,,,,,YES,0,1,0,20000,0,1,0,20000,0,2,0,10000,,,,,,NO,,YES,,OTHER (SPECIFY)
39-42-81-55,0439-001-001,5,**CONFIDENTIAL**,M5,**CONFIDENTIAL**,8,0,9,OTHER (SPECIFY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEVER,,1200000,PURCHASED,,,,NO CERTIFICATE,YES,YES,NO DOCUMENTATION,1,,YES,1,,NO,,,,,,,,,,,2003,NO,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,YES,,OTHER (SPECIFY)
31-07-58-53,0441-001-001,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,6,0,6,OTHER (SPECIFY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEVER,,3000000,INHERITANCE,,,,NO CERTIFICATE,YES,YES,NO DOCUMENTATION,1,,NO,,,,,,,,,,,,,,2005,NO,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,YES,,OTHER (SPECIFY)
31-07-58-53,0441-001-001,2,**CONFIDENTIAL**,M2,**CONFIDENTIAL**,3,1,4,OTHER (SPECIFY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEVER,,5400000,INHERITANCE,,,,NO CERTIFICATE,YES,YES,NO DOCUMENTATION,1,,NO,,,,,,,,,,,,,,2005,NO,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,YES,,OTHER (SPECIFY)
31-07-58-53,0441-001-001,3,**CONFIDENTIAL**,M3,**CONFIDENTIAL**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-07-58-53,0441-001-001,4,**CONFIDENTIAL**,M4,**CONFIDENTIAL**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-07-58-53,0441-001-001,5,**CONFIDENTIAL**,M5,**CONFIDENTIAL**,4,2,5,CULTIVATED,,1,YES,NO,1,,,,,YES,NO,1,,,,,LOAM,GOOD,OWN EXPERIENCE,YES,RAIN,NO,,,SLIGHTLY SLOPED,NO,,,,NEVER,,3000000,GIFT,,,,NO CERTIFICATE,YES,YES,NO DOCUMENTATION,1,,YES,1,,NO,,,,,,,,,,,2009,NO,YES,,NO,,,,,,,YES,NITROGEN PHOSPHATE POTASSIUM (NPK),20,20000,OWN EXPERIENCE,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,,NO,,,,,,,YES,220,MILLILITRE,4000,OWN EXPERIENCE,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,,,,,,,NO,NO,YES,1,,,,,,,,,,YES,1,,,,,,,,,,YES,1,3,,,,,,,,,YES,2,0,0,0,0,0,0,0,0,1,0,0,,,,,,NO,,YES,,FALLOW
31-07-58-53,0441-001-001,6,**CONFIDENTIAL**,,**CONFIDENTIAL**,0,0,0,CULTIVATED,,1,YES,NO,1,,,,,YES,NO,1,,,,,LOAM,AVERAGE,OWN EXPERIENCE,NO,,NO,,,FLAT TOP,NO,,,,NEVER,,1700000,PURCHASED,,,,NO CERTIFICATE,YES,YES,NO DOCUMENTATION,1,,YES,1,,NO,,,,,,,,,,,2008,NO,YES,,NO,,,,,,,YES,NITROGEN PHOSPHATE POTASSIUM (NPK),5,5000,OWN EXPERIENCE,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,,NO,,,,,,,NO,,,,,,,NO,,,,,,,,,,,NO,NO,YES,1,,,,,,,,,,YES,2,3,,,,,,,,,YES,1,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,NO,,YES,,FALLOW
05-88-93-30,0443-001-001,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-88-93-30,0443-001-001,2,**CONFIDENTIAL**,M2,**CONFIDENTIAL**,0,0,3,CULTIVATED,,1,YES,NO,1,2,,,,YES,NO,1,2,,,,CLAY,AVERAGE,OWN EXPERIENCE,NO,,NO,,,FLAT BOTTOM,NO,,,,NEVER,,15000000,PURCHASED,,,,NO CERTIFICATE,YES,YES,NO DOCUMENTATION,1,,YES,1,,YES,,,,,,,,,,,2003,NO,YES,,NO,,,,,,,NO,,,,,,,,,,,,,NO,,,,,,,NO,,,,,,,NO,,,,,,,,,,,NO,NO,YES,1,2,,,,,,,,,YES,1,2,,,,,,,,,YES,1,2,,,,,,,,,NO,,,,,,,,,,,,,,,,,,NO,,YES,,FALLOW
05-88-93-30,0443-001-001,3,**CONFIDENTIAL**,,**CONFIDENTIAL**,1,0,4,CULTIVATED,,1,YES,NO,1,2,,,,YES,NO,1,2,,,,CLAY,AVERAGE,OWN EXPERIENCE,NO,,NO,,,SLIGHTLY SLOPED,NO,,,,NEVER,,2000000,INHERITANCE,,,,NO CERTIFICATE,YES,YES,NO DOCUMENTATION,1,,NO,,,,,,,,,,,,,,2009,NO,YES,,NO,,,,,,,NO,,,,,,,,,,,,,NO,,,,,,,NO,,,,,,,NO,,,,,,,,,,,NO,NO,YES,1,2,,,,,,,,,YES,1,2,,,,,,,,,YES,1,2,,,,,,,,,NO,,,,,,,,,,,,,,,,,,NO,,YES,,FALLOW
62-63-62-03,0443-003-002,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,12,8,45,OTHER (SPECIFY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEVER,,4500000,INHERITANCE,,,,NO CERTIFICATE,YES,YES,NO DOCUMENTATION,2,,YES,2,,NO,,,,,,,,,,,2009,NO,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,YES,,OTHER (SPECIFY)
62-63-62-03,0443-003-002,2,**CONFIDENTIAL**,,**CONFIDENTIAL**,0,0.3,35,OTHER (SPECIFY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEVER,,750000,PURCHASED,,,,GRANTED RIGHT OF OCCUPANCY,,,LETTER OF ALLOCATION FROM VILLAGE GOV'T,2,,YES,2,,NO,,,,,,,,,,,2016,NO,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,YES,,OTHER (SPECIFY)
50-82-03-42,0444-001-001,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,10,1,12,CULTIVATED,,1,YES,NO,2,,,,,YES,NO,2,,,,,LOAM,GOOD,OWN EXPERIENCE,NO,,NO,,,SLIGHTLY SLOPED,NO,,,,2017,2,300000,INHERITANCE,,,,NO CERTIFICATE,YES,YES,NO DOCUMENTATION,2,,NO,,,,,,,,,,,,,,2009,NO,YES,,NO,,,,,,,NO,,,,,,,,,,,,,NO,,,,,,,YES,100,MILLILITRE,5000,OWN EXPERIENCE,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,NO,,,,,,,,,,,NO,NO,YES,2,3,4,,,,,,,,YES,2,3,4,,,,,,,,YES,2,4,,,,,,,,,NO,,,,,,,,,,,,,,,,,,NO,,YES,,FALLOW
50-82-03-42,0444-001-001,2,**CONFIDENTIAL**,M2,**CONFIDENTIAL**,2,0,1,CULTIVATED,,1,YES,NO,2,,,,,YES,NO,2,,,,,LOAM,GOOD,OWN EXPERIENCE,NO,,NO,,,SLIGHTLY SLOPED,NO,,,,NEVER,,300000,INHERITANCE,,,,NO CERTIFICATE,YES,YES,NO DOCUMENTATION,2,,NO,,,,,,,,,,,,,,2007,NO,YES,,NO,,,,,,,NO,,,,,,,,,,,,,NO,,,,,,,YES,100,MILLILITRE,5000,OWN EXPERIENCE,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,NO,,,,,,,,,,,NO,NO,YES,3,,,,,,,,,,YES,3,4,,,,,,,,,YES,3,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,NO,,YES,,FALLOW
50-82-03-42,0444-001-001,3,**CONFIDENTIAL**,M3,**CONFIDENTIAL**,0,0,1,CULTIVATED,,1,YES,NO,2,,,,,YES,NO,2,,,,,LOAM,AVERAGE,OWN EXPERIENCE,NO,,NO,,,SLIGHTLY SLOPED,NO,,,,NEVER,,100000,GIFT,,,,NO CERTIFICATE,YES,YES,NO DOCUMENTATION,1,,YES,1,,NO,,,,,,,,,,,2001,NO,YES,,NO,,,,,,,NO,,,,,,,,,,,,,NO,,,,,,,NO,,,,,,,NO,,,,,,,,,,,NO,NO,YES,2,4,,,,,,,,,YES,2,3,4,,,,,,,,YES,2,4,,,,,,,,,NO,,,,,,,,,,,,,,,,,,NO,,YES,,FALLOW
65-60-88-82,0444-002-001,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65-60-88-82,0444-002-001,2,**CONFIDENTIAL**,,**CONFIDENTIAL**,0,0,2,CULTIVATED,,1,YES,NO,2,,,,,YES,NO,2,,,,,LOAM,AVERAGE,OWN EXPERIENCE,NO,,NO,,,SLIGHTLY SLOPED,NO,,,,NEVER,,5000000,GIFT,,,,NO CERTIFICATE,YES,NO,NO DOCUMENTATION,1,,YES,1,,NO,,,,,,,,,,,2016,NO,YES,,NO,,,,,,,YES,DI-AMMOIUM PHOSPHATE (DAP),2,4400,OWN EXPERIENCE,SOKO,NDANI YA KIJIJI/MJI,NO,,,,,,NO,,,,,,,NO,,,,,,,NO,,,,,,,,,,,NO,NO,YES,2,,,,,,,,,,YES,2,3,,,,,,,,,YES,2,3,,,,,,,,,NO,,,,,,,,,,,,,,,,,,NO,,YES,,FALLOW
73-77-71-52,0445-001-002,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,0,0,35,OTHER (SPECIFY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEVER,,80000,INHERITANCE,,,,NO CERTIFICATE,YES,YES,NO DOCUMENTATION,1,,NO,,,,,,,,,,,,,,1979,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,YES,,OTHER (SPECIFY)
73-77-71-52,0445-001-002,2,**CONFIDENTIAL**,M2,**CONFIDENTIAL**,5.5,0.1,5.5,CULTIVATED,,1,YES,NO,1,2,,,,YES,NO,1,2,,,,LOAM,AVERAGE,OWN EXPERIENCE,NO,,NO,,,SLIGHTLY SLOPED,NO,,,,NEVER,,300000,INHERITANCE,,,,NO CERTIFICATE,YES,YES,NO DOCUMENTATION,1,,YES,1,,NO,,,,,,,,,,,1965,NO,YES,,NO,,,,,,,NO,,,,,,,,,,,,,NO,,,,,,,NO,,,,,,,NO,,,,,,,,,,,NO,NO,YES,2,4,,,,,,,,,YES,2,4,,,,,,,,,YES,2,4,,,,,,,,,NO,,,,,,,,,,,,,,,,,,NO,,YES,,FALLOW
73-77-71-52,0445-001-002,3,**CONFIDENTIAL**,M3,**CONFIDENTIAL**,4.5,0.1,4.5,FALLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,200000,PURCHASED,,,,NO CERTIFICATE,YES,YES,NO DOCUMENTATION,1,,YES,1,,NO,,,,,,,,,,,1975,NO,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,YES,,FALLOW
86-47-16-30,0447-001-001,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86-47-16-30,0447-001-001,2,**CONFIDENTIAL**,,**CONFIDENTIAL**,0,0,3,OTHER (SPECIFY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEVER,,45000000,INHERITANCE,,,,CERTIFICATE OF CUSTOMARY RIGHTS  OF OCCUPANCY,,,NO DOCUMENTATION,1,,YES,1,,YES,,,,,,,,,,,1968,NO,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,YES,,OTHER (SPECIFY)
86-47-16-30,0447-001-001,3,**CONFIDENTIAL**,,**CONFIDENTIAL**,8,0,5,CULTIVATED,,1,YES,NO,1,,,,,YES,NO,1,,,,,SANDY,BAD,OWN EXPERIENCE,NO,,NO,,,FLAT BOTTOM,NO,,,,NEVER,,15000000,INHERITANCE,,,,NO CERTIFICATE,NO,,NO DOCUMENTATION,1,,YES,1,,NO,,,,,,,,,,,2015,NO,YES,,NO,,,,,,,YES,CALCIUM AMMONIUM NITRATE (CAN),25,25000,OWN EXPERIENCE,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,NO,,,,,,NO,,,,,,,NO,,,,,,,NO,,,,,,,,,,,NO,NO,YES,1,,,,,,,,,,YES,1,,,,,,,,,,YES,1,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,NO,,YES,,FALLOW
27-83-38-78,0448-002-002,1,**CONFIDENTIAL**,,,0,0,0,OTHER (SPECIFY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DON'T KNOW,,0,"OTHER, SPECIFY",,,,,,,NO DOCUMENTATION,,,,,,,,,,,,,"NYINGINE, TAJA",KARIBU NA MJI,1,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,NO,,
33-34-75-08,0448-002-003,1,**CONFIDENTIAL**,,,3,2,3,OTHER (SPECIFY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DON'T KNOW,,4500000,PURCHASED,,,,NO CERTIFICATE,YES,YES,NO DOCUMENTATION,1,2,YES,1,2,NO,,,,,,,,,,,2018,NO,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,YES,,OTHER (SPECIFY)
33-34-75-08,0448-002-003,2,**CONFIDENTIAL**,,,0,0,0,OTHER (SPECIFY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DON'T KNOW,,0,"OTHER, SPECIFY",,,,,,,NO DOCUMENTATION,,,,,,,,,,,,,M/BIASHARA BINAFSI,KARIBU NA MJI,1,2,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,YES,,OTHER (SPECIFY)
80-14-45-91,0448-003-001,1,**CONFIDENTIAL**,,**CONFIDENTIAL**,0,0,0,OTHER (SPECIFY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEVER,,20000000,USED FREE OF CHARGE,,,,,,,NO DOCUMENTATION,,,,,,,,,,,,,NDUGU YOYOTE (NDANI AU NJE YA KAYA),WILAYA NYINGINE,1,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,YES,,OTHER (SPECIFY)
18-51-98-42,0448-007-001,1,**CONFIDENTIAL**,,**CONFIDENTIAL**,0,0,3,OTHER (SPECIFY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DON'T KNOW,,40000000,"OTHER, SPECIFY",,,,,,,NO DOCUMENTATION,,,,,,,,,,,,,NDUGU YOYOTE (NDANI AU NJE YA KAYA),NDANI YA KIJIJI/MJI,1,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,YES,,OTHER (SPECIFY)
57-69-67-98,0449-001-001,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,0,0,4,CULTIVATED,,1,YES,NO,1,2,,,,YES,NO,1,2,,,,LOAM,AVERAGE,OWN EXPERIENCE,NO,,NO,,,FLAT TOP,NO,,,,NEVER,,2000000,INHERITANCE,,,,NO CERTIFICATE,YES,YES,NO DOCUMENTATION,1,2,YES,1,2,NO,,,,,,,,,,,1980,NO,YES,,YES,20,YES,20,4000,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,NO,,,,,,,,,,,,,NO,,,,,,,NO,,,,,,,NO,,,,,,,,,,,NO,NO,YES,1,2,,,,,,,,,YES,1,2,,,,,,,,,YES,1,2,5,6,,,,,,,NO,,,,,,,,,,,,,,,,,,NO,,YES,,FALLOW
