interview__key,sdd_hhid,itemcode,hh_k01,hh_k02
69-69-83-72,0493-001-001,CIGARETTES OR TOBACCO,NO,
69-69-83-72,0493-001-001,MATCHES,NO,
69-69-83-72,0493-001-001,PUBLIC TRANSPORT,NO,
69-69-83-72,0493-001-001,KEROSENE,NO,
69-69-83-72,0493-001-001,"ELECTRICITY, INCLUDING ELECTRICITY VOUCHERS",NO,
69-69-83-72,0493-001-001,GAS (FOR LIGHTING/COOKING),NO,
69-69-83-72,0493-001-001,WATER,NO,
69-69-83-72,0493-001-001,PETROL OR DIESEL,NO,
69-69-83-72,0493-001-001,CELL PHONE VOUCHER,YES,2000
69-69-83-72,0493-001-001,CHARCOAL,NO,
69-69-83-72,0493-001-001,"MILLING FEES, GRAIN",YES,4000
69-69-83-72,0493-001-001,BAR SOAP (BODY SOAP OR CLOTHES SOAP),YES,6000
69-69-83-72,0493-001-001,CLOTHES SOAP (POWDER),NO,
69-69-83-72,0493-001-001,"TOOTHPASTE, TOOTHBRUSH",NO,
69-69-83-72,0493-001-001,TOILET PAPER,YES,200
69-69-83-72,0493-001-001,"GLYCERINE, VASELINE, SKIN CREAMS",YES,1000
69-69-83-72,0493-001-001,"OTHER PERSONAL PRODUCTS (SHAMPOO, RAZORBLADES, COSMETICS, HAIR PRODUCTS, ETC.)",NO,
69-69-83-72,0493-001-001,"HOUSEHOLD CLEANING PRODUCTS (DISH SOAP, TOILET CLEANSERS, ETC.)",NO,
69-69-83-72,0493-001-001,LIGHT BULBS,NO,
69-69-83-72,0493-001-001,"PHONE, INTERNET, POSTAGE STAMPS OR OTHER POSTAL FEES",NO,
69-69-83-72,0493-001-001,"DONATION - TO CHURCH, CHARITY, BEGGAR, ETC.",YES,35000
69-69-83-72,0493-001-001,"MOTOR VEHICLE SERVICE, REPAIR, OR PARTS",NO,
69-69-83-72,0493-001-001,"BICYCLE SERVICE, REPAIR, OR PARTS",YES,20000
69-69-83-72,0493-001-001,WAGES PAID TO SERVANTS,NO,
69-69-83-72,0493-001-001,MORTGAGE - REGULAR PAYMENT TO PURCHASE HOUSE,NO,
69-69-83-72,0493-001-001,"REPAIRS TO HOUSEHOLD AND PERSONAL ITEMS (RADIOS, WATCHES, ETC.)",NO,
47-92-40-90,0494-001-001,CIGARETTES OR TOBACCO,NO,
47-92-40-90,0494-001-001,MATCHES,YES,100
47-92-40-90,0494-001-001,PUBLIC TRANSPORT,NO,
47-92-40-90,0494-001-001,KEROSENE,NO,
47-92-40-90,0494-001-001,"ELECTRICITY, INCLUDING ELECTRICITY VOUCHERS",NO,
47-92-40-90,0494-001-001,GAS (FOR LIGHTING/COOKING),NO,
47-92-40-90,0494-001-001,WATER,NO,
47-92-40-90,0494-001-001,PETROL OR DIESEL,NO,
47-92-40-90,0494-001-001,CELL PHONE VOUCHER,YES,6000
47-92-40-90,0494-001-001,CHARCOAL,NO,
47-92-40-90,0494-001-001,"MILLING FEES, GRAIN",YES,2000
47-92-40-90,0494-001-001,BAR SOAP (BODY SOAP OR CLOTHES SOAP),YES,2500
47-92-40-90,0494-001-001,CLOTHES SOAP (POWDER),YES,1000
47-92-40-90,0494-001-001,"TOOTHPASTE, TOOTHBRUSH",NO,
47-92-40-90,0494-001-001,TOILET PAPER,NO,
47-92-40-90,0494-001-001,"GLYCERINE, VASELINE, SKIN CREAMS",YES,1500
47-92-40-90,0494-001-001,"OTHER PERSONAL PRODUCTS (SHAMPOO, RAZORBLADES, COSMETICS, HAIR PRODUCTS, ETC.)",NO,
47-92-40-90,0494-001-001,"HOUSEHOLD CLEANING PRODUCTS (DISH SOAP, TOILET CLEANSERS, ETC.)",NO,
47-92-40-90,0494-001-001,LIGHT BULBS,NO,
47-92-40-90,0494-001-001,"PHONE, INTERNET, POSTAGE STAMPS OR OTHER POSTAL FEES",NO,
47-92-40-90,0494-001-001,"DONATION - TO CHURCH, CHARITY, BEGGAR, ETC.",NO,
47-92-40-90,0494-001-001,"MOTOR VEHICLE SERVICE, REPAIR, OR PARTS",NO,
47-92-40-90,0494-001-001,"BICYCLE SERVICE, REPAIR, OR PARTS",NO,
47-92-40-90,0494-001-001,WAGES PAID TO SERVANTS,NO,
47-92-40-90,0494-001-001,MORTGAGE - REGULAR PAYMENT TO PURCHASE HOUSE,NO,
47-92-40-90,0494-001-001,"REPAIRS TO HOUSEHOLD AND PERSONAL ITEMS (RADIOS, WATCHES, ETC.)",NO,
94-84-76-53,0494-105-001,CIGARETTES OR TOBACCO,NO,
94-84-76-53,0494-105-001,MATCHES,NO,
94-84-76-53,0494-105-001,PUBLIC TRANSPORT,NO,
94-84-76-53,0494-105-001,KEROSENE,NO,
94-84-76-53,0494-105-001,"ELECTRICITY, INCLUDING ELECTRICITY VOUCHERS",NO,
94-84-76-53,0494-105-001,GAS (FOR LIGHTING/COOKING),NO,
94-84-76-53,0494-105-001,WATER,NO,
94-84-76-53,0494-105-001,PETROL OR DIESEL,NO,
94-84-76-53,0494-105-001,CELL PHONE VOUCHER,YES,20000
94-84-76-53,0494-105-001,CHARCOAL,NO,
94-84-76-53,0494-105-001,"MILLING FEES, GRAIN",YES,500
94-84-76-53,0494-105-001,BAR SOAP (BODY SOAP OR CLOTHES SOAP),YES,2500
94-84-76-53,0494-105-001,CLOTHES SOAP (POWDER),NO,
94-84-76-53,0494-105-001,"TOOTHPASTE, TOOTHBRUSH",NO,
94-84-76-53,0494-105-001,TOILET PAPER,NO,
94-84-76-53,0494-105-001,"GLYCERINE, VASELINE, SKIN CREAMS",YES,1000
94-84-76-53,0494-105-001,"OTHER PERSONAL PRODUCTS (SHAMPOO, RAZORBLADES, COSMETICS, HAIR PRODUCTS, ETC.)",NO,
94-84-76-53,0494-105-001,"HOUSEHOLD CLEANING PRODUCTS (DISH SOAP, TOILET CLEANSERS, ETC.)",NO,
94-84-76-53,0494-105-001,LIGHT BULBS,NO,
94-84-76-53,0494-105-001,"PHONE, INTERNET, POSTAGE STAMPS OR OTHER POSTAL FEES",NO,
94-84-76-53,0494-105-001,"DONATION - TO CHURCH, CHARITY, BEGGAR, ETC.",NO,
94-84-76-53,0494-105-001,"MOTOR VEHICLE SERVICE, REPAIR, OR PARTS",NO,
94-84-76-53,0494-105-001,"BICYCLE SERVICE, REPAIR, OR PARTS",NO,
94-84-76-53,0494-105-001,WAGES PAID TO SERVANTS,NO,
94-84-76-53,0494-105-001,MORTGAGE - REGULAR PAYMENT TO PURCHASE HOUSE,NO,
94-84-76-53,0494-105-001,"REPAIRS TO HOUSEHOLD AND PERSONAL ITEMS (RADIOS, WATCHES, ETC.)",NO,
24-90-97-55,0495-001-001,CIGARETTES OR TOBACCO,NO,
24-90-97-55,0495-001-001,MATCHES,YES,100
24-90-97-55,0495-001-001,PUBLIC TRANSPORT,NO,
24-90-97-55,0495-001-001,KEROSENE,NO,
24-90-97-55,0495-001-001,"ELECTRICITY, INCLUDING ELECTRICITY VOUCHERS",NO,
24-90-97-55,0495-001-001,GAS (FOR LIGHTING/COOKING),NO,
24-90-97-55,0495-001-001,WATER,NO,
24-90-97-55,0495-001-001,PETROL OR DIESEL,NO,
24-90-97-55,0495-001-001,CELL PHONE VOUCHER,YES,2000
24-90-97-55,0495-001-001,CHARCOAL,NO,
24-90-97-55,0495-001-001,"MILLING FEES, GRAIN",YES,1400
24-90-97-55,0495-001-001,BAR SOAP (BODY SOAP OR CLOTHES SOAP),YES,4000
24-90-97-55,0495-001-001,CLOTHES SOAP (POWDER),YES,2000
24-90-97-55,0495-001-001,"TOOTHPASTE, TOOTHBRUSH",NO,
24-90-97-55,0495-001-001,TOILET PAPER,NO,
24-90-97-55,0495-001-001,"GLYCERINE, VASELINE, SKIN CREAMS",YES,1500
24-90-97-55,0495-001-001,"OTHER PERSONAL PRODUCTS (SHAMPOO, RAZORBLADES, COSMETICS, HAIR PRODUCTS, ETC.)",YES,200
24-90-97-55,0495-001-001,"HOUSEHOLD CLEANING PRODUCTS (DISH SOAP, TOILET CLEANSERS, ETC.)",NO,
24-90-97-55,0495-001-001,LIGHT BULBS,NO,
24-90-97-55,0495-001-001,"PHONE, INTERNET, POSTAGE STAMPS OR OTHER POSTAL FEES",NO,
24-90-97-55,0495-001-001,"DONATION - TO CHURCH, CHARITY, BEGGAR, ETC.",YES,5000
24-90-97-55,0495-001-001,"MOTOR VEHICLE SERVICE, REPAIR, OR PARTS",NO,
24-90-97-55,0495-001-001,"BICYCLE SERVICE, REPAIR, OR PARTS",NO,
24-90-97-55,0495-001-001,WAGES PAID TO SERVANTS,NO,
24-90-97-55,0495-001-001,MORTGAGE - REGULAR PAYMENT TO PURCHASE HOUSE,NO,
24-90-97-55,0495-001-001,"REPAIRS TO HOUSEHOLD AND PERSONAL ITEMS (RADIOS, WATCHES, ETC.)",NO,
85-40-12-14,0496-001-002,CIGARETTES OR TOBACCO,NO,
85-40-12-14,0496-001-002,MATCHES,YES,100
85-40-12-14,0496-001-002,PUBLIC TRANSPORT,NO,
85-40-12-14,0496-001-002,KEROSENE,NO,
85-40-12-14,0496-001-002,"ELECTRICITY, INCLUDING ELECTRICITY VOUCHERS",NO,
85-40-12-14,0496-001-002,GAS (FOR LIGHTING/COOKING),NO,
85-40-12-14,0496-001-002,WATER,NO,
85-40-12-14,0496-001-002,PETROL OR DIESEL,NO,
85-40-12-14,0496-001-002,CELL PHONE VOUCHER,YES,1000
85-40-12-14,0496-001-002,CHARCOAL,NO,
85-40-12-14,0496-001-002,"MILLING FEES, GRAIN",YES,1500
85-40-12-14,0496-001-002,BAR SOAP (BODY SOAP OR CLOTHES SOAP),YES,1000
85-40-12-14,0496-001-002,CLOTHES SOAP (POWDER),NO,
85-40-12-14,0496-001-002,"TOOTHPASTE, TOOTHBRUSH",NO,
85-40-12-14,0496-001-002,TOILET PAPER,NO,
85-40-12-14,0496-001-002,"GLYCERINE, VASELINE, SKIN CREAMS",YES,1000
85-40-12-14,0496-001-002,"OTHER PERSONAL PRODUCTS (SHAMPOO, RAZORBLADES, COSMETICS, HAIR PRODUCTS, ETC.)",NO,
85-40-12-14,0496-001-002,"HOUSEHOLD CLEANING PRODUCTS (DISH SOAP, TOILET CLEANSERS, ETC.)",NO,
85-40-12-14,0496-001-002,LIGHT BULBS,NO,
85-40-12-14,0496-001-002,"PHONE, INTERNET, POSTAGE STAMPS OR OTHER POSTAL FEES",NO,
85-40-12-14,0496-001-002,"DONATION - TO CHURCH, CHARITY, BEGGAR, ETC.",YES,1000
85-40-12-14,0496-001-002,"MOTOR VEHICLE SERVICE, REPAIR, OR PARTS",NO,
85-40-12-14,0496-001-002,"BICYCLE SERVICE, REPAIR, OR PARTS",NO,
85-40-12-14,0496-001-002,WAGES PAID TO SERVANTS,NO,
85-40-12-14,0496-001-002,MORTGAGE - REGULAR PAYMENT TO PURCHASE HOUSE,NO,
85-40-12-14,0496-001-002,"REPAIRS TO HOUSEHOLD AND PERSONAL ITEMS (RADIOS, WATCHES, ETC.)",NO,
82-96-20-56,0497-001-001,CIGARETTES OR TOBACCO,NO,
82-96-20-56,0497-001-001,MATCHES,YES,500
82-96-20-56,0497-001-001,PUBLIC TRANSPORT,NO,
82-96-20-56,0497-001-001,KEROSENE,NO,
82-96-20-56,0497-001-001,"ELECTRICITY, INCLUDING ELECTRICITY VOUCHERS",NO,
82-96-20-56,0497-001-001,GAS (FOR LIGHTING/COOKING),NO,
82-96-20-56,0497-001-001,WATER,NO,
82-96-20-56,0497-001-001,PETROL OR DIESEL,NO,
82-96-20-56,0497-001-001,CELL PHONE VOUCHER,YES,10000
82-96-20-56,0497-001-001,CHARCOAL,NO,
82-96-20-56,0497-001-001,"MILLING FEES, GRAIN",YES,3000
82-96-20-56,0497-001-001,BAR SOAP (BODY SOAP OR CLOTHES SOAP),YES,8800
82-96-20-56,0497-001-001,CLOTHES SOAP (POWDER),YES,2000
82-96-20-56,0497-001-001,"TOOTHPASTE, TOOTHBRUSH",YES,5000
82-96-20-56,0497-001-001,TOILET PAPER,NO,
82-96-20-56,0497-001-001,"GLYCERINE, VASELINE, SKIN CREAMS",YES,3000
82-96-20-56,0497-001-001,"OTHER PERSONAL PRODUCTS (SHAMPOO, RAZORBLADES, COSMETICS, HAIR PRODUCTS, ETC.)",YES,500
82-96-20-56,0497-001-001,"HOUSEHOLD CLEANING PRODUCTS (DISH SOAP, TOILET CLEANSERS, ETC.)",NO,
82-96-20-56,0497-001-001,LIGHT BULBS,NO,
82-96-20-56,0497-001-001,"PHONE, INTERNET, POSTAGE STAMPS OR OTHER POSTAL FEES",NO,
82-96-20-56,0497-001-001,"DONATION - TO CHURCH, CHARITY, BEGGAR, ETC.",YES,10000
82-96-20-56,0497-001-001,"MOTOR VEHICLE SERVICE, REPAIR, OR PARTS",NO,
82-96-20-56,0497-001-001,"BICYCLE SERVICE, REPAIR, OR PARTS",NO,
82-96-20-56,0497-001-001,WAGES PAID TO SERVANTS,NO,
82-96-20-56,0497-001-001,MORTGAGE - REGULAR PAYMENT TO PURCHASE HOUSE,NO,
82-96-20-56,0497-001-001,"REPAIRS TO HOUSEHOLD AND PERSONAL ITEMS (RADIOS, WATCHES, ETC.)",NO,
58-25-83-45,0497-001-003,CIGARETTES OR TOBACCO,NO,
58-25-83-45,0497-001-003,MATCHES,YES,100
58-25-83-45,0497-001-003,PUBLIC TRANSPORT,NO,
58-25-83-45,0497-001-003,KEROSENE,NO,
58-25-83-45,0497-001-003,"ELECTRICITY, INCLUDING ELECTRICITY VOUCHERS",NO,
58-25-83-45,0497-001-003,GAS (FOR LIGHTING/COOKING),NO,
58-25-83-45,0497-001-003,WATER,NO,
58-25-83-45,0497-001-003,PETROL OR DIESEL,NO,
58-25-83-45,0497-001-003,CELL PHONE VOUCHER,YES,3000
58-25-83-45,0497-001-003,CHARCOAL,NO,
58-25-83-45,0497-001-003,"MILLING FEES, GRAIN",YES,1500
58-25-83-45,0497-001-003,BAR SOAP (BODY SOAP OR CLOTHES SOAP),YES,6000
58-25-83-45,0497-001-003,CLOTHES SOAP (POWDER),YES,1000
58-25-83-45,0497-001-003,"TOOTHPASTE, TOOTHBRUSH",YES,500
58-25-83-45,0497-001-003,TOILET PAPER,,
58-25-83-45,0497-001-003,"GLYCERINE, VASELINE, SKIN CREAMS",NO,
58-25-83-45,0497-001-003,"OTHER PERSONAL PRODUCTS (SHAMPOO, RAZORBLADES, COSMETICS, HAIR PRODUCTS, ETC.)",NO,
58-25-83-45,0497-001-003,"HOUSEHOLD CLEANING PRODUCTS (DISH SOAP, TOILET CLEANSERS, ETC.)",NO,
58-25-83-45,0497-001-003,LIGHT BULBS,NO,
58-25-83-45,0497-001-003,"PHONE, INTERNET, POSTAGE STAMPS OR OTHER POSTAL FEES",NO,
58-25-83-45,0497-001-003,"DONATION - TO CHURCH, CHARITY, BEGGAR, ETC.",YES,30000
58-25-83-45,0497-001-003,"MOTOR VEHICLE SERVICE, REPAIR, OR PARTS",NO,
58-25-83-45,0497-001-003,"BICYCLE SERVICE, REPAIR, OR PARTS",YES,10000
58-25-83-45,0497-001-003,WAGES PAID TO SERVANTS,NO,
58-25-83-45,0497-001-003,MORTGAGE - REGULAR PAYMENT TO PURCHASE HOUSE,NO,
58-25-83-45,0497-001-003,"REPAIRS TO HOUSEHOLD AND PERSONAL ITEMS (RADIOS, WATCHES, ETC.)",NO,
86-35-99-27,0498-001-001,CIGARETTES OR TOBACCO,NO,
86-35-99-27,0498-001-001,MATCHES,YES,200
86-35-99-27,0498-001-001,PUBLIC TRANSPORT,NO,
86-35-99-27,0498-001-001,KEROSENE,NO,
86-35-99-27,0498-001-001,"ELECTRICITY, INCLUDING ELECTRICITY VOUCHERS",NO,
86-35-99-27,0498-001-001,GAS (FOR LIGHTING/COOKING),NO,
86-35-99-27,0498-001-001,WATER,NO,
86-35-99-27,0498-001-001,PETROL OR DIESEL,NO,
86-35-99-27,0498-001-001,CELL PHONE VOUCHER,YES,4500
86-35-99-27,0498-001-001,CHARCOAL,NO,
86-35-99-27,0498-001-001,"MILLING FEES, GRAIN",YES,1500
86-35-99-27,0498-001-001,BAR SOAP (BODY SOAP OR CLOTHES SOAP),YES,2000
86-35-99-27,0498-001-001,CLOTHES SOAP (POWDER),YES,1000
86-35-99-27,0498-001-001,"TOOTHPASTE, TOOTHBRUSH",NO,
86-35-99-27,0498-001-001,TOILET PAPER,NO,
86-35-99-27,0498-001-001,"GLYCERINE, VASELINE, SKIN CREAMS",YES,1000
86-35-99-27,0498-001-001,"OTHER PERSONAL PRODUCTS (SHAMPOO, RAZORBLADES, COSMETICS, HAIR PRODUCTS, ETC.)",NO,
86-35-99-27,0498-001-001,"HOUSEHOLD CLEANING PRODUCTS (DISH SOAP, TOILET CLEANSERS, ETC.)",NO,
86-35-99-27,0498-001-001,LIGHT BULBS,NO,
86-35-99-27,0498-001-001,"PHONE, INTERNET, POSTAGE STAMPS OR OTHER POSTAL FEES",NO,
86-35-99-27,0498-001-001,"DONATION - TO CHURCH, CHARITY, BEGGAR, ETC.",NO,
86-35-99-27,0498-001-001,"MOTOR VEHICLE SERVICE, REPAIR, OR PARTS",NO,
86-35-99-27,0498-001-001,"BICYCLE SERVICE, REPAIR, OR PARTS",NO,
86-35-99-27,0498-001-001,WAGES PAID TO SERVANTS,NO,
86-35-99-27,0498-001-001,MORTGAGE - REGULAR PAYMENT TO PURCHASE HOUSE,NO,
86-35-99-27,0498-001-001,"REPAIRS TO HOUSEHOLD AND PERSONAL ITEMS (RADIOS, WATCHES, ETC.)",NO,
85-30-11-93,0498-001-006,CIGARETTES OR TOBACCO,NO,
85-30-11-93,0498-001-006,MATCHES,YES,100
85-30-11-93,0498-001-006,PUBLIC TRANSPORT,NO,
85-30-11-93,0498-001-006,KEROSENE,NO,
85-30-11-93,0498-001-006,"ELECTRICITY, INCLUDING ELECTRICITY VOUCHERS",NO,
85-30-11-93,0498-001-006,GAS (FOR LIGHTING/COOKING),NO,
85-30-11-93,0498-001-006,WATER,NO,
85-30-11-93,0498-001-006,PETROL OR DIESEL,NO,
85-30-11-93,0498-001-006,CELL PHONE VOUCHER,YES,14000
85-30-11-93,0498-001-006,CHARCOAL,NO,
85-30-11-93,0498-001-006,"MILLING FEES, GRAIN",YES,4000
85-30-11-93,0498-001-006,BAR SOAP (BODY SOAP OR CLOTHES SOAP),YES,2200
85-30-11-93,0498-001-006,CLOTHES SOAP (POWDER),YES,1000
85-30-11-93,0498-001-006,"TOOTHPASTE, TOOTHBRUSH",YES,5000
85-30-11-93,0498-001-006,TOILET PAPER,NO,
85-30-11-93,0498-001-006,"GLYCERINE, VASELINE, SKIN CREAMS",YES,3000
85-30-11-93,0498-001-006,"OTHER PERSONAL PRODUCTS (SHAMPOO, RAZORBLADES, COSMETICS, HAIR PRODUCTS, ETC.)",NO,
85-30-11-93,0498-001-006,"HOUSEHOLD CLEANING PRODUCTS (DISH SOAP, TOILET CLEANSERS, ETC.)",NO,
85-30-11-93,0498-001-006,LIGHT BULBS,NO,
85-30-11-93,0498-001-006,"PHONE, INTERNET, POSTAGE STAMPS OR OTHER POSTAL FEES",NO,
85-30-11-93,0498-001-006,"DONATION - TO CHURCH, CHARITY, BEGGAR, ETC.",NO,
85-30-11-93,0498-001-006,"MOTOR VEHICLE SERVICE, REPAIR, OR PARTS",NO,
85-30-11-93,0498-001-006,"BICYCLE SERVICE, REPAIR, OR PARTS",NO,
85-30-11-93,0498-001-006,WAGES PAID TO SERVANTS,NO,
85-30-11-93,0498-001-006,MORTGAGE - REGULAR PAYMENT TO PURCHASE HOUSE,NO,
85-30-11-93,0498-001-006,"REPAIRS TO HOUSEHOLD AND PERSONAL ITEMS (RADIOS, WATCHES, ETC.)",NO,
24-45-26-49,0498-004-001,CIGARETTES OR TOBACCO,NO,
24-45-26-49,0498-004-001,MATCHES,YES,100
24-45-26-49,0498-004-001,PUBLIC TRANSPORT,NO,
24-45-26-49,0498-004-001,KEROSENE,YES,1000
24-45-26-49,0498-004-001,"ELECTRICITY, INCLUDING ELECTRICITY VOUCHERS",NO,
24-45-26-49,0498-004-001,GAS (FOR LIGHTING/COOKING),NO,
24-45-26-49,0498-004-001,WATER,NO,
24-45-26-49,0498-004-001,PETROL OR DIESEL,NO,
24-45-26-49,0498-004-001,CELL PHONE VOUCHER,YES,2000
24-45-26-49,0498-004-001,CHARCOAL,NO,
24-45-26-49,0498-004-001,"MILLING FEES, GRAIN",YES,1000
24-45-26-49,0498-004-001,BAR SOAP (BODY SOAP OR CLOTHES SOAP),YES,4000
24-45-26-49,0498-004-001,CLOTHES SOAP (POWDER),NO,
24-45-26-49,0498-004-001,"TOOTHPASTE, TOOTHBRUSH",NO,
24-45-26-49,0498-004-001,TOILET PAPER,NO,
24-45-26-49,0498-004-001,"GLYCERINE, VASELINE, SKIN CREAMS",YES,2000
24-45-26-49,0498-004-001,"OTHER PERSONAL PRODUCTS (SHAMPOO, RAZORBLADES, COSMETICS, HAIR PRODUCTS, ETC.)",NO,
24-45-26-49,0498-004-001,"HOUSEHOLD CLEANING PRODUCTS (DISH SOAP, TOILET CLEANSERS, ETC.)",NO,
24-45-26-49,0498-004-001,LIGHT BULBS,NO,
24-45-26-49,0498-004-001,"PHONE, INTERNET, POSTAGE STAMPS OR OTHER POSTAL FEES",NO,
24-45-26-49,0498-004-001,"DONATION - TO CHURCH, CHARITY, BEGGAR, ETC.",YES,5000
24-45-26-49,0498-004-001,"MOTOR VEHICLE SERVICE, REPAIR, OR PARTS",NO,
24-45-26-49,0498-004-001,"BICYCLE SERVICE, REPAIR, OR PARTS",NO,
24-45-26-49,0498-004-001,WAGES PAID TO SERVANTS,NO,
24-45-26-49,0498-004-001,MORTGAGE - REGULAR PAYMENT TO PURCHASE HOUSE,NO,
24-45-26-49,0498-004-001,"REPAIRS TO HOUSEHOLD AND PERSONAL ITEMS (RADIOS, WATCHES, ETC.)",NO,
31-15-31-20,0499-001-001,CIGARETTES OR TOBACCO,YES,1000
31-15-31-20,0499-001-001,MATCHES,YES,100
31-15-31-20,0499-001-001,PUBLIC TRANSPORT,NO,
31-15-31-20,0499-001-001,KEROSENE,NO,
31-15-31-20,0499-001-001,"ELECTRICITY, INCLUDING ELECTRICITY VOUCHERS",NO,
31-15-31-20,0499-001-001,GAS (FOR LIGHTING/COOKING),NO,
31-15-31-20,0499-001-001,WATER,YES,1000
31-15-31-20,0499-001-001,PETROL OR DIESEL,NO,
31-15-31-20,0499-001-001,CELL PHONE VOUCHER,YES,3000
31-15-31-20,0499-001-001,CHARCOAL,NO,
31-15-31-20,0499-001-001,"MILLING FEES, GRAIN",YES,3000
31-15-31-20,0499-001-001,BAR SOAP (BODY SOAP OR CLOTHES SOAP),YES,3000
31-15-31-20,0499-001-001,CLOTHES SOAP (POWDER),YES,2000
31-15-31-20,0499-001-001,"TOOTHPASTE, TOOTHBRUSH",YES,1500
31-15-31-20,0499-001-001,TOILET PAPER,NO,
31-15-31-20,0499-001-001,"GLYCERINE, VASELINE, SKIN CREAMS",YES,2000
31-15-31-20,0499-001-001,"OTHER PERSONAL PRODUCTS (SHAMPOO, RAZORBLADES, COSMETICS, HAIR PRODUCTS, ETC.)",YES,2500
31-15-31-20,0499-001-001,"HOUSEHOLD CLEANING PRODUCTS (DISH SOAP, TOILET CLEANSERS, ETC.)",NO,
31-15-31-20,0499-001-001,LIGHT BULBS,NO,
31-15-31-20,0499-001-001,"PHONE, INTERNET, POSTAGE STAMPS OR OTHER POSTAL FEES",NO,
31-15-31-20,0499-001-001,"DONATION - TO CHURCH, CHARITY, BEGGAR, ETC.",YES,20000
31-15-31-20,0499-001-001,"MOTOR VEHICLE SERVICE, REPAIR, OR PARTS",NO,
31-15-31-20,0499-001-001,"BICYCLE SERVICE, REPAIR, OR PARTS",YES,6000
31-15-31-20,0499-001-001,WAGES PAID TO SERVANTS,NO,
31-15-31-20,0499-001-001,MORTGAGE - REGULAR PAYMENT TO PURCHASE HOUSE,NO,
31-15-31-20,0499-001-001,"REPAIRS TO HOUSEHOLD AND PERSONAL ITEMS (RADIOS, WATCHES, ETC.)",NO,
51-60-75-13,0499-001-004,CIGARETTES OR TOBACCO,NO,
51-60-75-13,0499-001-004,MATCHES,YES,200
51-60-75-13,0499-001-004,PUBLIC TRANSPORT,NO,
51-60-75-13,0499-001-004,KEROSENE,NO,
51-60-75-13,0499-001-004,"ELECTRICITY, INCLUDING ELECTRICITY VOUCHERS",NO,
51-60-75-13,0499-001-004,GAS (FOR LIGHTING/COOKING),NO,
51-60-75-13,0499-001-004,WATER,NO,
51-60-75-13,0499-001-004,PETROL OR DIESEL,NO,
51-60-75-13,0499-001-004,CELL PHONE VOUCHER,YES,1500
51-60-75-13,0499-001-004,CHARCOAL,NO,
51-60-75-13,0499-001-004,"MILLING FEES, GRAIN",YES,1000
51-60-75-13,0499-001-004,BAR SOAP (BODY SOAP OR CLOTHES SOAP),YES,3000
51-60-75-13,0499-001-004,CLOTHES SOAP (POWDER),NO,
51-60-75-13,0499-001-004,"TOOTHPASTE, TOOTHBRUSH",NO,
51-60-75-13,0499-001-004,TOILET PAPER,NO,
51-60-75-13,0499-001-004,"GLYCERINE, VASELINE, SKIN CREAMS",YES,1500
51-60-75-13,0499-001-004,"OTHER PERSONAL PRODUCTS (SHAMPOO, RAZORBLADES, COSMETICS, HAIR PRODUCTS, ETC.)",NO,
51-60-75-13,0499-001-004,"HOUSEHOLD CLEANING PRODUCTS (DISH SOAP, TOILET CLEANSERS, ETC.)",NO,
51-60-75-13,0499-001-004,LIGHT BULBS,NO,
51-60-75-13,0499-001-004,"PHONE, INTERNET, POSTAGE STAMPS OR OTHER POSTAL FEES",NO,
51-60-75-13,0499-001-004,"DONATION - TO CHURCH, CHARITY, BEGGAR, ETC.",YES,6000
51-60-75-13,0499-001-004,"MOTOR VEHICLE SERVICE, REPAIR, OR PARTS",NO,
51-60-75-13,0499-001-004,"BICYCLE SERVICE, REPAIR, OR PARTS",NO,
51-60-75-13,0499-001-004,WAGES PAID TO SERVANTS,NO,
51-60-75-13,0499-001-004,MORTGAGE - REGULAR PAYMENT TO PURCHASE HOUSE,NO,
51-60-75-13,0499-001-004,"REPAIRS TO HOUSEHOLD AND PERSONAL ITEMS (RADIOS, WATCHES, ETC.)",NO,
98-78-01-38,0499-004-002,CIGARETTES OR TOBACCO,NO,
98-78-01-38,0499-004-002,MATCHES,YES,100
98-78-01-38,0499-004-002,PUBLIC TRANSPORT,NO,
98-78-01-38,0499-004-002,KEROSENE,NO,
98-78-01-38,0499-004-002,"ELECTRICITY, INCLUDING ELECTRICITY VOUCHERS",NO,
98-78-01-38,0499-004-002,GAS (FOR LIGHTING/COOKING),NO,
98-78-01-38,0499-004-002,WATER,NO,
98-78-01-38,0499-004-002,PETROL OR DIESEL,NO,
98-78-01-38,0499-004-002,CELL PHONE VOUCHER,YES,2500
98-78-01-38,0499-004-002,CHARCOAL,NO,
98-78-01-38,0499-004-002,"MILLING FEES, GRAIN",YES,3200
98-78-01-38,0499-004-002,BAR SOAP (BODY SOAP OR CLOTHES SOAP),YES,5200
98-78-01-38,0499-004-002,CLOTHES SOAP (POWDER),YES,2400
98-78-01-38,0499-004-002,"TOOTHPASTE, TOOTHBRUSH",YES,1200
98-78-01-38,0499-004-002,TOILET PAPER,NO,
98-78-01-38,0499-004-002,"GLYCERINE, VASELINE, SKIN CREAMS",YES,1500
98-78-01-38,0499-004-002,"OTHER PERSONAL PRODUCTS (SHAMPOO, RAZORBLADES, COSMETICS, HAIR PRODUCTS, ETC.)",YES,1000
98-78-01-38,0499-004-002,"HOUSEHOLD CLEANING PRODUCTS (DISH SOAP, TOILET CLEANSERS, ETC.)",NO,
98-78-01-38,0499-004-002,LIGHT BULBS,NO,
