interview__key,sdd_hhid,plotnum,cropid,ag4b_01,ag4b_02,ag4b_03,ag4b_04,ag4b_05,ag4b_06,ag4b_08,ag4b_10_1,ag4b_10_2,ag4b_10a_1,ag4b_10a_2,ag4b_10b,ag4b_10c_1,ag4b_10c_2,ag4b_12,ag4b_13_1,ag4b_13_2,ag4b_17,ag4b_18,ag4b_19,ag4b_20,ag4b_21,ag4b_22,ag4b_23,ag4b_24_1,ag4b_24_2,ag4b_25,ag4b_26,ag4b_27,ag4b_28,ag4b_29,ag4b_30_1,ag4b_30_2
10-61-49-52,0684-001-002,1,17,NO,1/2,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,NYEKUNDU,TRADITIONAL,2,KG,HAKUNA,,,2,KG,4000,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,NO,,YES,,0.3,NO,,DECEMBER,DECEMBER,YES,,,40,40000,1,2
61-41-06-82,0684-005-001,1,1,NO,1/2,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,SEEDCO,"IMPROVED, RECYCLED",5,KG,HAKUNA,,,5,KG,5000,SOKO,KARIBU NA KIJIJI,NO,,YES,,1,NO,,FEBRUARY,FEBRUARY,YES,,,130,65000,1,
61-41-06-82,0684-005-001,1,17,NO,1/2,LACK SEEDS,YES,MORE FERTILE FOR THE SOIL,NJANO,TRADITIONAL,6,KG,6,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,1,NO,,JANUARY,FEBRUARY,YES,,,50,60000,1,
11-48-68-26,0685-001-001,1,1,NO,1/2,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,MBEGU KIENYEJI,TRADITIONAL,6,KG,HAKUNA,,,6,KG,14000,DUKANI/MCHUUZI,KARIBU NA KIJIJI,NO,,YES,,0.4,NO,,JANUARY,FEBRUARY,YES,,,216,120000,1,2
11-48-68-26,0685-001-001,1,17,NO,1/2,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,MAHARAGE KIENYEJI,TRADITIONAL,8,KG,HAKUNA,,,8,KG,16000,GULIO,KARIBU NA KIJIJI,NO,,YES,,0.4,NO,,DECEMBER,FEBRUARY,YES,,,160,240000,1,2
56-57-53-73,0688-001-001,1,1,NO,1/2,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,SEEDCO,"IMPROVED, RECYCLED",2,KG,HAKUNA,,,2,KG,1800,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,NO,,YES,,0.2,NO,,DECEMBER,FEBRUARY,YES,,,60,54000,1,2
56-57-53-73,0688-001-001,1,17,NO,1/2,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,NYEKUNDU,TRADITIONAL,2,KG,HAKUNA,,,2,KG,2400,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,NO,,YES,,0.2,NO,,DECEMBER,FEBRUARY,YES,,,40,40000,1,2
23-06-93-51,0689-001-001,1,1,NO,1/2,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,MBEGU KIENYEJI,TRADITIONAL,2,KG,2,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,0.1,YES,OTHER (SPECIFY),FEBRUARY,FEBRUARY,YES,,,36,40000,1,2
23-06-93-51,0689-001-001,1,17,NO,1/4,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,MAHARAGE MEKUNDU,TRADITIONAL,2,KG,2,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,0.2,NO,,DECEMBER,DECEMBER,YES,,,40,60000,1,2
23-06-93-51,0689-001-001,2,1,NO,1/2,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,MBEGU KIENYEJI,TRADITIONAL,4,KG,4,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,0.5,NO,,JANUARY,FEBRUARY,YES,,,216,240000,1,2
23-06-93-51,0689-001-001,2,17,NO,1/4,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,MAHARAGE MEKUNDU,TRADITIONAL,4,KG,4,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,0.2,NO,,DECEMBER,DECEMBER,YES,,,60,90000,1,2
75-21-34-64,0689-001-008,1,1,NO,1/2,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,MBEGU KIENYEJI,TRADITIONAL,2,LARGE CUP,2,LARGE CUP,TRADITIONAL,HAKUNA,,,,,NO,,YES,,0.3,NO,,JANUARY,FEBRUARY,YES,,,36,20000,1,
75-21-34-64,0689-001-008,1,17,NO,3/4,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,MAHARAGE KIENYEJI,TRADITIONAL,6,KG,6,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,0.5,NO,,DECEMBER,FEBRUARY,YES,,,40,40000,1,
27-84-62-21,0694-001-001,1,1,NO,1/4,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,SEEDCO,IMPROVED,2,KG,HAKUNA,,,2,KG,14000,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,YES,THEFT,YES,,0.2,NO,,DECEMBER,FEBRUARY,YES,,,36,16000,1,2
27-84-62-21,0694-001-001,1,17,NO,1/2,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,MAHARAGE RANGI RANGI,TRADITIONAL,4,KG,4,KG,TRADITIONAL,HAKUNA,,,,,YES,THEFT,YES,,0.3,YES,CROP THEFT,NOVEMBER,DECEMBER,YES,,,40,60000,1,2
91-33-85-80,0695-001-001,1,1,YES,,,YES,MORE FERTILE FOR THE SOIL,SEEDCO,TRADITIONAL,5,KG,HAKUNA,,,HAKUNA,,,,,NO,,YES,,1,NO,,JANUARY,FEBRUARY,YES,,,360,180000,1,
91-33-85-80,0695-001-001,1,17,YES,,,YES,MORE FERTILE FOR THE SOIL,KIENYEJI,TRADITIONAL,40,KG,40,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,1,NO,,DECEMBER,FEBRUARY,YES,,,160,160000,1,
53-85-16-71,0695-004-001,1,1,NO,1/2,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,KITTO,TRADITIONAL,10,KG,10,KG,TRADITIONAL,HAKUNA,,,,,YES,INSECTS,YES,,0.5,YES,RAINS,JANUARY,FEBRUARY,YES,,,108,42000,1,
53-85-16-71,0695-004-001,1,17,NO,1/2,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,NJANO,TRADITIONAL,10,KG,10,KG,TRADITIONAL,HAKUNA,,,,,YES,INSECTS,YES,,0.5,YES,RAINS,JANUARY,FEBRUARY,YES,,,40,44000,1,
64-88-46-60,0695-004-003,1,1,YES,,,YES,MORE FERTILE FOR THE SOIL,KIENYEJI,TRADITIONAL,1,KG,1,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,0.5,NO,,JANUARY,FEBRUARY,YES,,,60,15000,1,2
64-88-46-60,0695-004-003,1,17,YES,,,YES,MORE FERTILE FOR THE SOIL,KIENYEJI,TRADITIONAL,5,KG,HAKUNA,,,5,KG,7500,GULIO,NDANI YA KIJIJI/MJI,YES,INSECTS,YES,,0.1,YES,INSECTS,DECEMBER,FEBRUARY,YES,,,10,9000,1,2
64-88-46-60,0695-004-003,2,1,YES,,,YES,MORE FERTILE FOR THE SOIL,KIENYEJI,TRADITIONAL,1,KG,1,KG,TRADITIONAL,HAKUNA,,,,,YES,OTHER (SPECIFY),YES,,0.1,YES,RAINS,JANUARY,FEBRUARY,YES,,,60,15000,1,2
64-88-46-60,0695-004-003,2,17,YES,,,YES,MORE FERTILE FOR THE SOIL,KIENYEJI,TRADITIONAL,3,KG,HAKUNA,,,3,KG,3500,GULIO,NDANI YA KIJIJI/MJI,YES,OTHER (SPECIFY),YES,,0.1,YES,RAINS,JANUARY,FEBRUARY,YES,,,10,12000,1,2
78-20-87-66,0696-001-001,1,14,YES,,,YES,MORE FERTILE FOR THE SOIL,KIENYEJI,TRADITIONAL,5,KG,HAKUNA,,,HAKUNA,,,,,NO,,YES,,12,NO,,APRIL,MARCH,YES,,,20,5000,1,
96-88-18-26,0696-004-001,1,11,YES,,,NO,,KAHEMPU,TRADITIONAL,1,OTHER (SPECIFY),HAKUNA,,,HAKUNA,,,,,NO,,NO,STILL IN PLOT,,,,,,,,,,,,
84-43-61-13,0698-003-002,2,1,YES,,,NO,,ASILI,TRADITIONAL,10,KG,10,KG,TRADITIONAL,HAKUNA,,,,,YES,THEFT,YES,,2,NO,,JANUARY,FEBRUARY,YES,,,400,160000,6,
04-80-76-28,0698-009-001,1,17,NO,1/2,LACK OF TOOLS/EQUIPMENTS,NO,,SHONA,TRADITIONAL,5,KG,HAKUNA,,,5,KG,10000,SOKO,KARIBU NA KIJIJI,NO,,YES,,0.5,NO,,DECEMBER,FEBRUARY,YES,,,25,20000,1,3
10-70-45-48,0700-001-001,1,1,NO,1/4,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,MBEGU KIENYEJI,TRADITIONAL,2,KG,2,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,0.2,NO,,JANUARY,FEBRUARY,YES,,,108,60000,2,
10-70-45-48,0700-001-001,1,17,NO,1/2,LACK SEEDS,YES,MORE FERTILE FOR THE SOIL,MAHARAGE KAHAWIA,TRADITIONAL,6,KG,6,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,0.5,NO,,DECEMBER,FEBRUARY,YES,,,100,150000,2,
08-63-44-83,0708-002-001,1,1,YES,,,NO,,SEEDCO,IMPROVED,0.5,KG,HAKUNA,,,0.5,KG,3000,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,NO,,YES,,0.1,NO,,JANUARY,FEBRUARY,YES,,,20,12000,1,
95-04-11-03,0711-001-003,1,1,NO,1/4,WAS DIVIDED,NO,,STAR,TRADITIONAL,4,LARGE CUP,HAKUNA,,,4,LARGE CUP,4000,SOKO,NDANI YA KIJIJI/MJI,YES,INSECTS,YES,,0.1,YES,INSECTS,FEBRUARY,FEBRUARY,YES,,,30,12000,5,
95-04-11-03,0711-001-003,1,2,NO,1/4,WAS DIVIDED,NO,,SUPER ZAMBIA,TRADITIONAL,5,LARGE CUP,HAKUNA,,,5,LARGE CUP,2500,SOKO,NDANI YA KIJIJI/MJI,NO,,NO,STILL IN PLOT,,,,,,,,,,,,
95-04-11-03,0711-001-003,1,11,NO,1/4,WAS DIVIDED,NO,,VYEKUNDU,TRADITIONAL,80,KG,HAKUNA,,,80,KG,10000,RAFIKI,NDANI YA KIJIJI/MJI,NO,,NO,STILL IN PLOT,,,,,,,,,,,,
88-78-07-94,0719-001-001,2,1,YES,,,YES,MORE FERTILE FOR THE SOIL,KIENYEJI.,TRADITIONAL,2,KG,HAKUNA,,,2,KG,13000,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,YES,OTHER (SPECIFY),YES,,0.5,YES,DROUGHT,FEBRUARY,FEBRUARY,YES,,,60,36000,1,2
88-78-07-94,0719-001-001,2,17,YES,,,YES,MORE FERTILE FOR THE SOIL,KIENYEJI,TRADITIONAL,2,KG,HAKUNA,,,2,KG,3000,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,NO,,YES,,0.5,YES,DROUGHT,FEBRUARY,FEBRUARY,YES,,,3000,4500,1,2
02-98-67-18,0720-001-001,2,1,NO,1/2,WAS DIVIDED,NO,,KIENYEJI,TRADITIONAL,2,KG,2,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,0.2,YES,DROUGHT,FEBRUARY,FEBRUARY,YES,,,60,15000,1,
02-98-67-18,0720-001-001,3,1,YES,,,YES,MORE FERTILE FOR THE SOIL,KIENYEJI,TRADITIONAL,5,KG,5,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,0.5,YES,DROUGHT,FEBRUARY,FEBRUARY,YES,,,280,70000,1,
02-98-67-18,0720-001-001,3,17,YES,,,YES,MORE FERTILE FOR THE SOIL,KIENYEJI,TRADITIONAL,5,KG,5,KG,TRADITIONAL,HAKUNA,,,,,NO,,NO,DESTRUCTION,,,,,,,,,,,,
01-38-32-24,0720-001-011,1,1,YES,,,NO,,KILIMA,TRADITIONAL,5,KG,5,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,1,NO,,FEBRUARY,FEBRUARY,YES,,,240,60000,1,2
01-38-32-24,0720-001-011,3,1,NO,3/4,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,KILIMO,TRADITIONAL,1,20 LITER BUCKET,1,20 LITER BUCKET,TRADITIONAL,HAKUNA,,,,,NO,,YES,,5,YES,RAINS,FEBRUARY,MARCH,YES,,,144,432000,1,2
01-38-32-24,0720-001-011,3,17,NO,1/4,LACK SEEDS,YES,MORE FERTILE FOR THE SOIL,MAHARAGE YA NJANO,TRADITIONAL,1,20 LITER BUCKET,1,20 LITER BUCKET,TRADITIONAL,HAKUNA,,,,,NO,,YES,,3,NO,,JANUARY,FEBRUARY,YES,,,100,90000,1,2
01-38-32-24,0720-001-011,3,28,NO,1/4,LACK SEEDS,YES,MORE FERTILE FOR THE SOIL,AINA YA KAHAWIA,TRADITIONAL,4,KG,4,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,1,NO,,MARCH,MARCH,YES,,,45,27000,1,2
64-88-68-03,0720-015-001,1,1,NO,1/2,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,MAHINDI NJANO,TRADITIONAL,1,LARGE CUP,1,LARGE CUP,TRADITIONAL,HAKUNA,,,,,NO,,YES,,0.1,NO,,FEBRUARY,FEBRUARY,YES,,,18,5000,1,
64-88-68-03,0720-015-001,1,17,NO,1/4,LACK SEEDS,YES,MORE FERTILE FOR THE SOIL,MAHARAGE MEUPE,TRADITIONAL,1,SMALL CUP,HAKUNA,,,1,SMALL CUP,500,SOKO,NDANI YA KIJIJI/MJI,NO,,YES,,0.01,NO,,FEBRUARY,FEBRUARY,YES,,,2,4000,1,
64-88-68-03,0720-015-001,2,1,YES,,,NO,,KIENYEJI,TRADITIONAL,2,KG,HAKUNA,,,2,KG,2000,SOKO,NDANI YA KIJIJI/MJI,NO,,YES,,0.3,YES,RAINS,FEBRUARY,MARCH,YES,,,108,30000,1,
36-91-51-52,0720-015-004,1,1,YES,,,NO,,DK,"IMPROVED, RECYCLED",3,KG,HAKUNA,,,3,KG,3600,SOKO,MKOA MWINGINE,YES,OTHER (SPECIFY),YES,,0.17,YES,DROUGHT,FEBRUARY,FEBRUARY,YES,,,40,14000,1,2
19-95-64-63,0722-001-001,1,1,YES,,,NO,,ASILI,TRADITIONAL,5,KG,5,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,1,NO,,FEBRUARY,MARCH,YES,,,480,120000,1,2
00-12-69-11,0723-001-001,1,1,NO,1/4,LACK OF TOOLS/EQUIPMENTS,YES,MORE FERTILE FOR THE SOIL,KIENYEJI,TRADITIONAL,2,KG,HAKUNA,,,2,KG,2000,SOKO,KARIBU NA KIJIJI,NO,,YES,,1,YES,DROUGHT,FEBRUARY,MARCH,YES,,,324,90000,1,
00-12-69-11,0723-001-001,1,17,NO,1/4,LACK OF TOOLS/EQUIPMENTS,YES,MORE FERTILE FOR THE SOIL,RANGI MOJA,TRADITIONAL,6,KG,HAKUNA,,,6,KG,6000,SOKO,NDANI YA KIJIJI/MJI,YES,INSECTS,YES,,0.3,YES,DROUGHT,FEBRUARY,FEBRUARY,YES,,,20,20000,1,
83-43-91-36,0726-001-001,1,1,YES,,,NO,,DK,"IMPROVED, RECYCLED",1,KG,HAKUNA,,,1,KG,1000,SOKO,NDANI YA KIJIJI/MJI,NO,,YES,,0.2,NO,,FEBRUARY,FEBRUARY,YES,,,60,21000,1,
83-43-91-36,0726-001-001,2,1,NO,3/4,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,DK,"IMPROVED, RECYCLED",3,KG,HAKUNA,,,3,KG,3000,SOKO,NDANI YA KIJIJI/MJI,NO,,YES,,1,NO,,FEBRUARY,FEBRUARY,YES,,,960,336000,1,
83-43-91-36,0726-001-001,2,11,NO,1/4,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,KIENYEJI,TRADITIONAL,2,OTHER (SPECIFY),2,OTHER (SPECIFY),TRADITIONAL,HAKUNA,,,,,NO,,YES,,1,NO,,FEBRUARY,HARVEST NOT YET COMPLETE,NO,60,50,200,50000,1,5
83-43-91-36,0726-001-001,3,103,,,,,,##N/A##,,,,,,,,,,,,,,,,,,,,,,,,,,,
71-44-85-61,0727-001-001,2,1,YES,,,YES,MORE FERTILE FOR THE SOIL,KIENYEJI,TRADITIONAL,3,KG,HAKUNA,,,3,KG,3000,SOKO,NDANI YA KIJIJI/MJI,NO,,YES,,0.5,YES,DROUGHT,FEBRUARY,FEBRUARY,YES,,,240,72000,1,2
71-44-85-61,0727-001-001,2,17,YES,,,YES,MORE FERTILE FOR THE SOIL,KIENYEJI,TRADITIONAL,4,KG,HAKUNA,,,4,KG,8000,SOKO,NDANI YA KIJIJI/MJI,NO,,YES,,0.5,YES,DROUGHT,JANUARY,FEBRUARY,YES,,,20,20000,1,2
87-68-89-36,0729-001-002,1,1,NO,1/4,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,KIENYEJI,TRADITIONAL,2,KG,2,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,1.5,NO,,FEBRUARY,FEBRUARY,YES,,,480,240000,2,4
87-68-89-36,0729-001-002,1,17,NO,3/4,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,NJANO,TRADITIONAL,5,KG,5,KG,TRADITIONAL,HAKUNA,,,,,YES,OTHER (SPECIFY),YES,,0.25,YES,DROUGHT,FEBRUARY,FEBRUARY,YES,,,20,15000,2,4
87-68-89-36,0729-001-002,2,1,YES,,,YES,MORE FERTILE FOR THE SOIL,KIENYEJI,TRADITIONAL,5,KG,5,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,1.5,NO,,FEBRUARY,FEBRUARY,YES,,,600,216000,2,4
87-68-89-36,0729-001-002,2,17,YES,,,YES,MORE FERTILE FOR THE SOIL,NJANAO,TRADITIONAL,5,KG,5,KG,TRADITIONAL,HAKUNA,,,,,YES,OTHER (SPECIFY),YES,,0.12,YES,DROUGHT,FEBRUARY,FEBRUARY,YES,,,5,10000,2,4
53-00-35-57,0729-003-001,2,1,YES,,,YES,MORE FERTILE FOR THE SOIL,KIENYEJI,TRADITIONAL,1500,KG,HAKUNA,,,1500,KG,1200,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,NO,,YES,,0.2,YES,DROUGHT,FEBRUARY,FEBRUARY,YES,,,20,6000,1,2
93-89-30-03,0731-001-003,2,1,YES,,,NO,,SEEDCO,IMPROVED,4,KG,HAKUNA,,,4,KG,28000,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,NO,,YES,,1,NO,,FEBRUARY,MARCH,YES,,,360,90000,1,
63-80-38-30,0733-001-001,2,1,YES,,,NO,,SEEDCO,IMPROVED,2,KG,HAKUNA,,,2,KG,120000,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,YES,OTHER (SPECIFY),YES,,0.25,YES,DROUGHT,FEBRUARY,FEBRUARY,YES,,,120,30000,1,2
63-80-38-30,0733-001-001,3,2,YES,,,NO,,KALAMATA,TRADITIONAL,1,20 LITER BUCKET,HAKUNA,,,1,20 LITER BUCKET,10000,SOKO,NDANI YA KIJIJI/MJI,YES,OTHER (SPECIFY),YES,,0.12,YES,DROUGHT,APRIL,APRIL,YES,,,105,49000,1,2
16-05-60-08,0734-001-001,1,1,YES,,,YES,MORE FERTILE FOR THE SOIL,DK,IMPROVED,4,KG,HAKUNA,,,4,KG,15000,DUKANI/MCHUUZI,KARIBU NA KIJIJI,NO,,YES,,1,NO,,JANUARY,FEBRUARY,YES,,,240,8000,1,2
16-05-60-08,0734-001-001,1,17,YES,,,YES,MORE FERTILE FOR THE SOIL,KIENYEJI,TRADITIONAL,6,KG,HAKUNA,,,6,KG,12000,DUKANI/MCHUUZI,KARIBU NA KIJIJI,NO,,YES,,0.5,YES,DROUGHT,DECEMBER,FEBRUARY,YES,,,40,20000,1,2
16-05-60-08,0734-001-001,2,1,YES,,,YES,MORE FERTILE FOR THE SOIL,DK,IMPROVED,6,KG,HAKUNA,,,6,KG,12000,DUKANI/MCHUUZI,KARIBU NA KIJIJI,NO,,YES,,0.5,YES,DROUGHT,JANUARY,FEBRUARY,YES,,,600,8000,1,2
16-05-60-08,0734-001-001,2,17,YES,,,YES,MORE FERTILE FOR THE SOIL,KIENYEJI,TRADITIONAL,5,KG,HAKUNA,,,5,KG,10000,DUKANI/MCHUUZI,KARIBU NA KIJIJI,NO,,YES,,0.5,YES,DROUGHT,JANUARY,FEBRUARY,YES,,,60,120000,1,2
05-65-41-70,0736-003-001,1,1,NO,3/4,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,DK,IMPROVED,8,KG,HAKUNA,,,8,KG,48000,DUKANI/MCHUUZI,KARIBU NA KIJIJI,NO,,YES,,1.5,NO,,FEBRUARY,MARCH,YES,,,864,240000,1,
05-65-41-70,0736-003-001,1,17,NO,1/2,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,MWANAMWANA,TRADITIONAL,10,KG,10,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,1,NO,,JANUARY,FEBRUARY,YES,,,100,100000,1,
05-65-41-70,0736-003-001,3,1,NO,3/4,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,DK,"IMPROVED, RECYCLED",14,KG,14,KG,IMPROVED RECYCLED,HAKUNA,,,,,NO,,YES,,1.7,NO,,MARCH,MARCH,YES,,,720,200000,1,
05-65-41-70,0736-003-001,3,17,NO,1/2,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,MWANAMWANA,TRADITIONAL,10,KG,10,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,1,NO,,JANUARY,FEBRUARY,YES,,,80,80000,1,
61-19-90-97,0736-003-004,1,1,YES,,,YES,MORE FERTILE FOR THE SOIL,DK,IMPROVED,6,KG,HAKUNA,,,6,KG,12000,SOKO,NDANI YA KIJIJI/MJI,NO,,YES,,0.6,YES,DROUGHT,FEBRUARY,FEBRUARY,YES,,,720,216000,1,2
61-19-90-97,0736-003-004,1,17,YES,,,YES,MORE FERTILE FOR THE SOIL,KIENYEJI,TRADITIONAL,3,KG,HAKUNA,,,3,KG,6000,SOKO,NDANI YA KIJIJI/MJI,NO,,YES,,0.2,YES,DROUGHT,FEBRUARY,FEBRUARY,YES,,,5,7500,1,2
31-03-28-85,0736-003-005,1,1,YES,,,YES,MORE FERTILE FOR THE SOIL,DK,IMPROVED,2,KG,HAKUNA,,,2,KG,13000,DUKANI/MCHUUZI,KARIBU NA KIJIJI,YES,ANIMALS,YES,,0.5,YES,DROUGHT,FEBRUARY,FEBRUARY,YES,,,216,55000,1,
31-03-28-85,0736-003-005,1,17,NO,1/2,LACK SEEDS,YES,MORE FERTILE FOR THE SOIL,MAHARAGE NJANO,TRADITIONAL,4,LARGE CUP,HAKUNA,,,4,LARGE CUP,4000,SOKO,NDANI YA KIJIJI/MJI,YES,INSECTS,YES,,0.2,YES,INSECTS,JANUARY,FEBRUARY,YES,,,20,22000,1,
99-14-00-70,0736-003-006,1,1,YES,,,YES,MORE FERTILE FOR THE SOIL,DK  80,IMPROVED,2,KG,HAKUNA,,,2,KG,14000,DUKANI/MCHUUZI,KARIBU NA KIJIJI,YES,ANIMALS,YES,,0.5,NO,,FEBRUARY,MARCH,YES,,,540,210000,1,
99-14-00-70,0736-003-006,1,17,YES,,,YES,MORE FERTILE FOR THE SOIL,MAHARAGE NJANO,TRADITIONAL,2,KG,HAKUNA,,,2,KG,6000,DUKANI/MCHUUZI,KARIBU NA KIJIJI,NO,,YES,,0.3,YES,DROUGHT,JANUARY,FEBRUARY,YES,,,10,15000,1,
97-65-53-21,0737-001-001,1,11,YES,,,NO,,ASILI,TRADITIONAL,30,KG,30,KG,TRADITIONAL,HAKUNA,,,,,YES,INSECTS,YES,,1,NO,,MAY,JUNE,YES,,,340,280000,1,2
97-65-53-21,0737-001-001,2,3,YES,,,NO,,ASILI,TRADITIONAL,8,KG,8,KG,TRADITIONAL,HAKUNA,,,,,YES,OTHER (SPECIFY),NO,OTHER (SPECIFY),,,,,,,,,,,,
97-65-53-21,0737-001-001,3,1,YES,,,NO,,ASILI,TRADITIONAL,8,KG,8,KG,TRADITIONAL,HAKUNA,,,,,YES,OTHER (SPECIFY),NO,OTHER (SPECIFY),,,,,,,,,,,,
08-34-94-62,0738-001-001,1,1,YES,,,NO,,SEEDCO,IMPROVED,4,KG,HAKUNA,,,4,KG,20000,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,YES,INSECTS,YES,,0.8,YES,INSECTS,MARCH,MARCH,YES,,,360,140000,1,
14-06-51-04,0741-001-004,1,3,NO,3/4,WAS DIVIDED,NO,,MTAMA MWEKUNDU,TRADITIONAL,4,KG,4,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,0.2,YES,DROUGHT,MARCH,MARCH,YES,,,80,32000,1,
54-99-39-86,0743-001-001,1,1,YES,,,YES,MORE FERTILE FOR THE SOIL,KIENYEJI,TRADITIONAL,4,KG,HAKUNA,,,HAKUNA,,,,,NO,,YES,,0.3,NO,,FEBRUARY,FEBRUARY,YES,,,50,50000,1,3
54-99-39-86,0743-001-001,1,28,YES,,,YES,MORE FERTILE FOR THE SOIL,KIENYEJI,TRADITIONAL,6,KG,HAKUNA,,,6,KG,12000,GULIO,KARIBU NA KIJIJI,NO,,YES,,0.3,NO,,FEBRUARY,FEBRUARY,YES,,,50,30000,1,3
43-11-94-86,0744-005-002,2,1,YES,,,NO,,SEEDCO,"IMPROVED, RECYCLED",2,KG,HAKUNA,,,2,KG,18000,DUKANI/MCHUUZI,KARIBU NA KIJIJI,NO,,YES,,1,NO,,FEBRUARY,FEBRUARY,YES,,,180,90000,2,
43-11-94-86,0744-005-002,3,3,YES,,,NO,,MAGESA,TRADITIONAL,3,KG,HAKUNA,,,3,KG,10000,DUKANI/MCHUUZI,KARIBU NA KIJIJI,NO,,YES,,1,NO,,FEBRUARY,FEBRUARY,YES,,,216,120000,2,
83-40-04-19,0745-001-001,3,3,NO,1/2,DROUGHT,YES,MORE FERTILE FOR THE SOIL,ASILI,TRADITIONAL,10,KG,10,KG,TRADITIONAL,HAKUNA,,,,,YES,OTHER (SPECIFY),NO,OTHER (SPECIFY),,,,,,,,,,,,
31-95-03-62,0747-001-001,5,1,YES,,,NO,,SEEDCO,"IMPROVED, RECYCLED",4,KG,4,KG,IMPROVED RECYCLED,HAKUNA,,,,,NO,,YES,,1,NO,,FEBRUARY,FEBRUARY,YES,,,210,140,1,2
40-92-93-80,0748-006-001,1,1,YES,,,YES,MORE FERTILE FOR THE SOIL,ASILI,TRADITIONAL,8,KG,8,KG,TRADITIONAL,HAKUNA,,,,,YES,OTHER (SPECIFY),YES,,0.5,NO,,FEBRUARY,FEBRUARY,YES,,,20,10000,1,
40-92-93-80,0748-006-001,1,3,YES,,,YES,MORE FERTILE FOR THE SOIL,ASILI,TRADITIONAL,5,KG,5,KG,TRADITIONAL,HAKUNA,,,,,YES,OTHER (SPECIFY),YES,,0.5,NO,,MARCH,MARCH,YES,,,30,10000,1,3
95-00-47-94,0761-001-001,2,103,,,,,,##N/A##,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-97-20-68,0767-001-001,1,103,YES,,,NO,,ZA KAWAIDA,TRADITIONAL,5,SMALL CUP,5,SMALL CUP,TRADITIONAL,HAKUNA,,,,,NO,,NO,STILL IN PLOT,,,,,,,,,,,,
