interview__key,sdd_hhid,hh_i01,hh_i02,hh_i03,hh_i04,hh_i05,hh_i06,hh_i07_1,hh_i07_2,hh_i08,hh_i09,hh_i10,hh_i11,hh_i12,hh_i12a,hh_i12b,hh_i12c,hh_i12d_1,hh_i12d_2,hh_i12d_3,hh_i13,hh_i14,hh_i15,hh_i16,hh_i16_1,hh_i17,hh_i18,hh_i19,hh_i20,hh_i21,hh_i22,hh_i23,hh_i24_1,hh_i24_2,hh_i25,hh_i26,hh_i27,hh_i28,hh_i29,hh_i30,hh_i31,hh_i32,hh_i33,hh_i34_1,hh_i34_2,hh_i35,hh_i36
44-86-40-50,0481-001-001,OWNER OCCUPIED,NO DOCUMENTATION AT ALL,,30000,0,0,2,3,BAKED/BURNT BRICKS,METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",BURIED IN COMPOUND,PIT LATRINE WITHOUT SLAB/OPEN PIT,PIT LATRINE,"NO, NEVER EMPTIED",,NO,YES,NO,NO,,PUT/RINSED INTO TOILET OR LATRINE,FIREWOOD,STONE/OPEN FIRE STOVE,LAMP OIL,,"SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNELS)",ELSWHERE,3,122,2,NONE,,"SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNELS)",0,YES,,,,,,,,,,
25-23-86-61,0483-001-001,OWNER OCCUPIED,NO DOCUMENTATION AT ALL,,15000,0,0,3,3,BAKED/BURNT BRICKS,METAL SHEETS (GCI),EARTH,HEAPED IN COMPOUND,PIT LATRINE WITH SLAB (NOT WASHABLE),PIT LATRINE,"NO, NEVER EMPTIED",,NO,YES,NO,NO,,CHILD USED TOILET OR LATRINE,FIREWOOD,STONE/OPEN FIRE STOVE,SOLAR,SOLAR PANELS,RAINWATER COLLECTION,IN OWN YARD/PLOT,,,,NONE,,RAINWATER COLLECTION,0,NO,CONVENIENCE,"SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNELS)",ELSWHERE,2,12,2,NONE,,"SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNELS)",0
29-78-41-94,0484-001-001,OWNER OCCUPIED,NO DOCUMENTATION AT ALL,,15000,0,0,3,0,BAKED/BURNT BRICKS,METAL SHEETS (GCI),EARTH,HEAPED IN COMPOUND,PIT LATRINE WITH SLAB (NOT WASHABLE),PIT LATRINE,"NO, NEVER EMPTIED",,NO,YES,NO,NO,,PUT/RINSED INTO TOILET OR LATRINE,FIREWOOD,STONE/OPEN FIRE STOVE,SOLAR,SOLAR PANELS,TUBEWELL/BOREHOLE,ELSWHERE,2,5,1,NONE,,TUBEWELL/BOREHOLE,0,YES,,,,,,,,,,
67-76-38-68,0485-001-002,OWNER OCCUPIED,NO DOCUMENTATION AT ALL,,2000,0,0,2,0,BAKED/BURNT BRICKS,METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",HEAPED IN COMPOUND,PIT LATRINE WITH SLAB (NOT WASHABLE),PIT LATRINE,"NO, NEVER EMPTIED",,NO,YES,NO,NO,,CHILD USED TOILET OR LATRINE,FIREWOOD,STONE/OPEN FIRE STOVE,FIREWOOD,,RAINWATER COLLECTION,IN OWN YARD/PLOT,,,,NONE,,RAINWATER COLLECTION,0,NO,CONVENIENCE,"SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNELS)",ELSWHERE,2,8,2,NONE,,"SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNELS)",0
92-10-23-86,0486-001-001,OWNER OCCUPIED,TRADITIONAL RIGHT OF OCCUPANCY,,15000,0,0,2,2,BAKED/BURNT BRICKS,METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",HEAPED IN COMPOUND,PIT LATRINE WITH SLAB (NOT WASHABLE),PIT LATRINE,"NO, NEVER EMPTIED",,NO,YES,NO,NO,,NO CHILDREN,FIREWOOD,STONE/OPEN FIRE STOVE,LAMP OIL,,RAINWATER COLLECTION,IN OWN YARD/PLOT,,,,NONE,,RAINWATER COLLECTION,0,NO,CONVENIENCE,"SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNELS)",ELSWHERE,1,5,2,NONE,,"SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNELS)",0
47-36-77-75,0486-001-002,RENTED,,15000,,0,0,3,0,"POLES (INCLUDING BAMBOO), BRANCHES, GRASS",METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",HEAPED IN COMPOUND,PIT LATRINE WITH SLAB (NOT WASHABLE),PIT LATRINE,"NO, NEVER EMPTIED",,NO,YES,NO,NO,,PUT/RINSED INTO TOILET OR LATRINE,CHARCOAL,MANUFACTURED STOVE,SOLAR,SOLAR PANELS,RAINWATER COLLECTION,IN OWN YARD/PLOT,,,,NONE,,RAINWATER COLLECTION,0,YES,,,,,,,,,,
06-58-60-31,0487-001-001,OWNER OCCUPIED,NO DOCUMENTATION AT ALL,,5000,0,0,3,1,BAKED/BURNT BRICKS,METAL SHEETS (GCI),EARTH,HEAPED IN COMPOUND,PIT LATRINE WITH SLAB (NOT WASHABLE),PIT LATRINE,"NO, NEVER EMPTIED",,NO,YES,NO,NO,,PUT/RINSED INTO DRAIN/DITCH,FIREWOOD,STONE/OPEN FIRE STOVE,TORCH,,RAINWATER COLLECTION,IN OWN YARD/PLOT,,,,BOIL,,RAINWATER COLLECTION,0,NO,AVAILABILITY,TUBEWELL/BOREHOLE,ELSWHERE,2,15,5,NONE,,TUBEWELL/BOREHOLE,0
68-66-69-90,0488-002-001,RENTED,,5000,,0,0,6,2,BAKED/BURNT BRICKS,METAL SHEETS (GCI),EARTH,HEAPED IN COMPOUND,PIT LATRINE WITH SLAB (NOT WASHABLE),PIT LATRINE,DON'T KNOW,,NO,YES,NO,NO,,CHILD USED TOILET OR LATRINE,FIREWOOD,STONE/OPEN FIRE STOVE,TORCH,,RAINWATER COLLECTION,IN OWN YARD/PLOT,,,,NONE,,RAINWATER COLLECTION,0,NO,AVAILABILITY,TUBEWELL/BOREHOLE,ELSWHERE,1,20,5,NONE,,PROTECTED DUGWELL,0
66-18-09-29,0489-001-001,OWNER OCCUPIED,NO DOCUMENTATION AT ALL,,35000,0,0,2,2,BAKED/BURNT BRICKS,METAL SHEETS (GCI),EARTH,HEAPED IN COMPOUND,PIT LATRINE WITH SLAB (NOT WASHABLE),PIT LATRINE,"NO, NEVER EMPTIED",,NO,YES,NO,NO,,PUT/RINSED INTO TOILET OR LATRINE,FIREWOOD,STONE/OPEN FIRE STOVE,SOLAR,SOLAR PANELS,"SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNELS)",ELSWHERE,2,5,1,NONE,,"SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNELS)",0,YES,,,,,,,,,,
24-04-32-53,0490-001-001,OWNER OCCUPIED,NO DOCUMENTATION AT ALL,,15000,0,0,1,1,BAKED/BURNT BRICKS,METAL SHEETS (GCI),EARTH,HEAPED IN COMPOUND,PIT LATRINE WITH SLAB (NOT WASHABLE),PIT LATRINE,"NO, NEVER EMPTIED",,NO,YES,NO,NO,,NO CHILDREN,FIREWOOD,STONE/OPEN FIRE STOVE,SOLAR,SOLAR PANELS,"SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNELS)",ELSWHERE,2,15,1,NONE,,"SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNELS)",0,YES,,,,,,,,,,
61-73-23-72,0491-001-001,FREE,,,20000,0,0,4,0,BAKED/BURNT BRICKS,METAL SHEETS (GCI),EARTH,HEAPED IN COMPOUND,PIT LATRINE WITH SLAB (NOT WASHABLE),PIT LATRINE,"NO, NEVER EMPTIED",,NO,YES,NO,NO,,NO CHILDREN,FIREWOOD,STONE/OPEN FIRE STOVE,TORCH,,RAINWATER COLLECTION,IN OWN YARD/PLOT,,,,NONE,,RAINWATER COLLECTION,0,NO,AVAILABILITY,"SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNELS)",ELSWHERE,5,30,1,NONE,,"SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNELS)",0
53-31-43-03,0491-001-002,OWNER OCCUPIED,NO DOCUMENTATION AT ALL,,20000,0,0,2,0,BAKED/BURNT BRICKS,METAL SHEETS (GCI),EARTH,HEAPED IN COMPOUND,PIT LATRINE WITH SLAB (NOT WASHABLE),PIT LATRINE,"NO, NEVER EMPTIED",,NO,YES,NO,NO,,PUT/RINSED INTO TOILET OR LATRINE,FIREWOOD,STONE/OPEN FIRE STOVE,TORCH,,RAINWATER COLLECTION,IN NEIGHBOR'S COMPOUND,2,10,3,NONE,,RAINWATER COLLECTION,0,NO,AVAILABILITY,TUBEWELL/BOREHOLE,ELSWHERE,2,20,5,NONE,,TUBEWELL/BOREHOLE,0
75-89-58-82,0491-001-003,RENTED,,60000,,0,0,2,0,MUD BRICKS,METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",COLLECTED BY GOVT/MUNICIPALITY,FLUSH TOILET,IN OWN SEPTIC TANK,"NO, NEVER EMPTIED",,NO,YES,NO,YES,4,NO CHILDREN,CHARCOAL,MANUFACTURED STOVE,ELECTRICITY,TANESCO,RAINWATER COLLECTION,IN OWN YARD/PLOT,,,,NONE,,PIPED WATER,500,NO,AVAILABILITY,PIPED WATER,IN OWN YARD/PLOT,,,,NONE,,PIPED WATER,500
79-64-69-56,0491-001-004,RENTED,,20000,,0,0,2,0,MUD BRICKS,METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",COLLECTED BY GOVT/MUNICIPALITY,FLUSH TOILET,IN OWN SEPTIC TANK,DON'T KNOW,,NO,YES,NO,YES,1,PUT/RINSED INTO TOILET OR LATRINE,CHARCOAL,MANUFACTURED STOVE,ELECTRICITY,TANESCO,PIPED WATER,IN OWN YARD/PLOT,,,,NONE,,PIPED WATER,750,YES,,,,,,,,,,
76-15-29-53,0491-002-001,OWNER OCCUPIED,NO DOCUMENTATION AT ALL,,3000,0,0,3,0,BAKED/BURNT BRICKS,METAL SHEETS (GCI),EARTH,HEAPED IN COMPOUND,PIT LATRINE WITH SLAB (NOT WASHABLE),PIT LATRINE,"NO, NEVER EMPTIED",,NO,YES,NO,NO,,PUT/RINSED INTO TOILET OR LATRINE,FIREWOOD,STONE/OPEN FIRE STOVE,SOLAR,SOLAR PANELS,RAINWATER COLLECTION,IN OWN YARD/PLOT,,,,NONE,,RAINWATER COLLECTION,0,NO,AVAILABILITY,"SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNELS)",ELSWHERE,2,30,2,NONE,,"SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNELS)",0
68-73-60-31,0491-003-001,OWNER OCCUPIED,NO DOCUMENTATION AT ALL,,30000,45000,0,4,0,MUD BRICKS,METAL SHEETS (GCI),EARTH,HEAPED IN COMPOUND,PIT LATRINE WITH SLAB (NOT WASHABLE),PIT LATRINE,"NO, NEVER EMPTIED",,NO,YES,NO,NO,,PUT/RINSED INTO TOILET OR LATRINE,FIREWOOD,STONE/OPEN FIRE STOVE,SOLAR,SOLAR PANELS,RAINWATER COLLECTION,IN OWN YARD/PLOT,,,,LET IT STAND AND SETTLE,,RAINWATER COLLECTION,0,NO,AVAILABILITY,PIPED WATER,ELSWHERE,2,60,20,NONE,,PIPED WATER,0
00-55-08-95,0491-004-001,OWNER OCCUPIED,NO DOCUMENTATION AT ALL,,10000,0,0,2,0,BAKED/BURNT BRICKS,METAL SHEETS (GCI),EARTH,HEAPED IN COMPOUND,PIT LATRINE WITH SLAB (NOT WASHABLE),PIT LATRINE,"NO, NEVER EMPTIED",,NO,YES,NO,NO,,PUT/RINSED INTO TOILET OR LATRINE,FIREWOOD,STONE/OPEN FIRE STOVE,SOLAR,SOLAR PANELS,RAINWATER COLLECTION,IN OWN YARD/PLOT,,,,NONE,,RAINWATER COLLECTION,0,NO,AVAILABILITY,TUBEWELL/BOREHOLE,ELSWHERE,2,20,5,NONE,,TUBEWELL/BOREHOLE,0
20-63-33-06,0492-001-001,OWNER OCCUPIED,NO DOCUMENTATION AT ALL,,15000,0,0,2,1,BAKED/BURNT BRICKS,METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",HEAPED IN COMPOUND,PIT LATRINE WITH SLAB (NOT WASHABLE),PIT LATRINE,"NO, NEVER EMPTIED",,NO,YES,NO,NO,,CHILD USED TOILET OR LATRINE,FIREWOOD,STONE/OPEN FIRE STOVE,SOLAR,SOLAR PANELS,TUBEWELL/BOREHOLE,ELSWHERE,2,13,1,NONE,,TUBEWELL/BOREHOLE,0,YES,,,,,,,,,,
69-69-83-72,0493-001-001,OWNER OCCUPIED,NO DOCUMENTATION AT ALL,,70000,0,0,4,2,BAKED/BURNT BRICKS,METAL SHEETS (GCI),EARTH,HEAPED IN COMPOUND,PIT LATRINE WITH SLAB (NOT WASHABLE),PIT LATRINE,"NO, NEVER EMPTIED",,NO,YES,NO,NO,,PUT/RINSED INTO TOILET OR LATRINE,FIREWOOD,STONE/OPEN FIRE STOVE,SOLAR,SOLAR PANELS,"SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNELS)",ELSWHERE,2,8,4,BOIL,,"SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNELS)",0,YES,,,,,,,,,,
47-92-40-90,0494-001-001,OWNER OCCUPIED,NO DOCUMENTATION AT ALL,,15000,131000,0,3,0,BAKED/BURNT BRICKS,METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",BURNT IN COMPOUND,PIT LATRINE WITH SLAB (NOT WASHABLE),PIT LATRINE,"NO, NEVER EMPTIED",,NO,YES,NO,NO,,CHILD USED TOILET OR LATRINE,FIREWOOD,STONE/OPEN FIRE STOVE,TORCH,,"SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNELS)",ELSWHERE,4,10,1,BOIL,,"SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNELS)",0,YES,,,,,,,,,,
94-84-76-53,0494-105-001,OWNER OCCUPIED,NO DOCUMENTATION AT ALL,,30000,0,0,3,0,MUD BRICKS,MUD AND GRASS,EARTH,HEAPED IN COMPOUND,PIT LATRINE WITH SLAB (NOT WASHABLE),PIT LATRINE,"NO, NEVER EMPTIED",,NO,YES,NO,NO,,PUT/RINSED INTO TOILET OR LATRINE,FIREWOOD,STONE/OPEN FIRE STOVE,TORCH,,"SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNELS)",ELSWHERE,2,10,2,BOIL,,"SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNELS)",0,YES,,,,,,,,,,
24-90-97-55,0495-001-001,OWNER OCCUPIED,NO DOCUMENTATION AT ALL,,20000,0,0,3,0,MUD BRICKS,"GRASS, LEAVES, BAMBOO",EARTH,HEAPED IN COMPOUND,PIT LATRINE WITH SLAB (NOT WASHABLE),PIT LATRINE,"NO, NEVER EMPTIED",,NO,YES,NO,NO,,CHILD USED TOILET OR LATRINE,FIREWOOD,STONE/OPEN FIRE STOVE,SOLAR,SOLAR PANELS,"SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNELS)",ELSWHERE,2,9,5,BOIL,,"SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNELS)",0,YES,,,,,,,,,,
85-40-12-14,0496-001-002,OWNER OCCUPIED,NO DOCUMENTATION AT ALL,,30000,0,0,4,0,BAKED/BURNT BRICKS,METAL SHEETS (GCI),EARTH,HEAPED IN COMPOUND,PIT LATRINE WITH SLAB (NOT WASHABLE),PIT LATRINE,"NO, NEVER EMPTIED",,NO,YES,NO,NO,,NO CHILDREN,FIREWOOD,STONE/OPEN FIRE STOVE,SOLAR,SOLAR PANELS,RAINWATER COLLECTION,IN OWN YARD/PLOT,,,,BOIL,,UNPROTECTED DUGWELL,0,NO,AVAILABILITY,UNPROTECTED DUGWELL,ELSWHERE,4,8,2,BOIL,,UNPROTECTED DUGWELL,0
82-96-20-56,0497-001-001,OWNER OCCUPIED,NO DOCUMENTATION AT ALL,,5000,0,0,4,2,MUD BRICKS,MUD AND GRASS,EARTH,HEAPED IN COMPOUND,PIT LATRINE WITH SLAB (NOT WASHABLE),PIT LATRINE,"NO, NEVER EMPTIED",,NO,YES,NO,NO,,PUT/RINSED INTO TOILET OR LATRINE,FIREWOOD,STONE/OPEN FIRE STOVE,SOLAR,SOLAR PANELS,UNPROTECTED DUGWELL,ELSWHERE,2,5,1,BOIL,,UNPROTECTED DUGWELL,0,YES,,,,,,,,,,
58-25-83-45,0497-001-003,OWNER OCCUPIED,NO DOCUMENTATION AT ALL,,20000,0,0,2,0,MUD BRICKS,METAL SHEETS (GCI),EARTH,HEAPED IN COMPOUND,NO TOILET,,,,,,,,,PUT/RINSED INTO TOILET OR LATRINE,FIREWOOD,STONE/OPEN FIRE STOVE,SOLAR,SOLAR PANELS,RAINWATER COLLECTION,IN OWN YARD/PLOT,,,,NONE,,RAINWATER COLLECTION,0,NO,AVAILABILITY,UNPROTECTED DUGWELL,ELSWHERE,2,12,2,NONE,,UNPROTECTED DUGWELL,0
86-35-99-27,0498-001-001,OWNER OCCUPIED,NO DOCUMENTATION AT ALL,,15000,0,0,3,2,BAKED/BURNT BRICKS,METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",BURNT IN COMPOUND,PIT LATRINE WITH SLAB (NOT WASHABLE),PIT LATRINE,"NO, NEVER EMPTIED",,NO,YES,NO,NO,,CHILD USED TOILET OR LATRINE,FIREWOOD,STONE/OPEN FIRE STOVE,TORCH,,"SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNELS)",ELSWHERE,2,20,1,NONE,,"SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNELS)",0,YES,,,,,,,,,,
85-30-11-93,0498-001-006,OWNER OCCUPIED,NO DOCUMENTATION AT ALL,,20000,0,0,2,2,BAKED/BURNT BRICKS,METAL SHEETS (GCI),EARTH,BURNT IN COMPOUND,PIT LATRINE WITH SLAB (NOT WASHABLE),PIT LATRINE,"NO, NEVER EMPTIED",,NO,YES,NO,NO,,PUT/RINSED INTO TOILET OR LATRINE,FIREWOOD,STONE/OPEN FIRE STOVE,SOLAR,SOLAR PANELS,"SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNELS)",ELSWHERE,2,30,1,NONE,,"SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNELS)",0,YES,,,,,,,,,,
24-45-26-49,0498-004-001,OWNER OCCUPIED,NO DOCUMENTATION AT ALL,,15000,0,0,2,0,MUD BRICKS,METAL SHEETS (GCI),EARTH,HEAPED IN COMPOUND,PIT LATRINE WITH SLAB (NOT WASHABLE),PIT LATRINE,"NO, NEVER EMPTIED",,NO,YES,NO,NO,,PUT/RINSED INTO TOILET OR LATRINE,FIREWOOD,STONE/OPEN FIRE STOVE,LAMP OIL,,RAINWATER COLLECTION,IN OWN YARD/PLOT,,,,NONE,,RAINWATER COLLECTION,0,NO,CONVENIENCE,TUBEWELL/BOREHOLE,ELSWHERE,2,30,10,BOIL,,TUBEWELL/BOREHOLE,0
31-15-31-20,0499-001-001,OWNER OCCUPIED,NO DOCUMENTATION AT ALL,,10000,0,0,3,5,BAKED/BURNT BRICKS,METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",HEAPED IN COMPOUND,PIT LATRINE WITHOUT SLAB/OPEN PIT,PIT LATRINE,"NO, NEVER EMPTIED",,YES,NO,NO,YES,1,PUT/RINSED INTO TOILET OR LATRINE,FIREWOOD,STONE/OPEN FIRE STOVE,SOLAR,SOLAR PANELS,UNPROTECTED DUGWELL,IN NEIGHBOR'S COMPOUND,6,60,2,NONE,,RAINWATER COLLECTION,250,NO,AVAILABILITY,UNPROTECTED DUGWELL,IN NEIGHBOR'S COMPOUND,6,60,5,NONE,,UNPROTECTED DUGWELL,250
51-60-75-13,0499-001-004,OWNER OCCUPIED,NO DOCUMENTATION AT ALL,,5000,0,0,2,2,BAKED/BURNT BRICKS,METAL SHEETS (GCI),EARTH,HEAPED IN COMPOUND,PIT LATRINE WITHOUT SLAB/OPEN PIT,PIT LATRINE,"NO, NEVER EMPTIED",,NO,YES,NO,NO,,PUT/RINSED INTO TOILET OR LATRINE,FIREWOOD,STONE/OPEN FIRE STOVE,SOLAR,SOLAR PANELS,RAINWATER COLLECTION,IN OWN YARD/PLOT,,,,NONE,,RAINWATER COLLECTION,0,NO,AVAILABILITY,TUBEWELL/BOREHOLE,ELSWHERE,1,120,10,NONE,,TUBEWELL/BOREHOLE,0
98-78-01-38,0499-004-002,OWNER OCCUPIED,NO DOCUMENTATION AT ALL,,15000,0,0,3,2,BAKED/BURNT BRICKS,METAL SHEETS (GCI),EARTH,BURIED IN COMPOUND,PIT LATRINE WITHOUT SLAB/OPEN PIT,PIT LATRINE,"NO, NEVER EMPTIED",,NO,YES,NO,NO,,BURIED,FIREWOOD,STONE/OPEN FIRE STOVE,SOLAR,SOLAR PANELS,RAINWATER COLLECTION,IN OWN YARD/PLOT,,,,NONE,,"SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNELS)",0,NO,AVAILABILITY,"SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNELS)",ELSWHERE,3,40,10,BOIL,,"SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNELS)",0
66-76-23-69,0500-001-001,OWNER OCCUPIED,NO DOCUMENTATION AT ALL,,30000,0,0,4,0,BAKED/BURNT BRICKS,METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",BURNT IN COMPOUND,PIT LATRINE WITH SLAB (NOT WASHABLE),PIT LATRINE,"NO, NEVER EMPTIED",,NO,YES,NO,NO,,NO CHILDREN,FIREWOOD,STONE/OPEN FIRE STOVE,SOLAR,SOLAR PANELS,TUBEWELL/BOREHOLE,ELSWHERE,2,7,1,NONE,,TUBEWELL/BOREHOLE,0,YES,,,,,,,,,,
81-34-91-83,0501-001-001,OWNER OCCUPIED,NO DOCUMENTATION AT ALL,,15000,0,0,3,0,BAKED/BURNT BRICKS,METAL SHEETS (GCI),EARTH,BURNT IN COMPOUND,PIT LATRINE WITH SLAB (NOT WASHABLE),PIT LATRINE,"NO, NEVER EMPTIED",,NO,YES,NO,NO,,PUT/RINSED INTO TOILET OR LATRINE,FIREWOOD,STONE/OPEN FIRE STOVE,SOLAR,SOLAR PANELS,TUBEWELL/BOREHOLE,ELSWHERE,2,10,1,NONE,,TUBEWELL/BOREHOLE,0,YES,,,,,,,,,,
94-06-30-25,0502-001-002,FREE,,,15000,0,0,2,1,BAKED/BURNT BRICKS,MUD AND GRASS,EARTH,BURNT IN COMPOUND,PIT LATRINE WITH SLAB (NOT WASHABLE),PIT LATRINE,"NO, NEVER EMPTIED",,NO,YES,NO,NO,,PUT/RINSED INTO TOILET OR LATRINE,FIREWOOD,STONE/OPEN FIRE STOVE,TORCH,,UNPROTECTED DUGWELL,ELSWHERE,5,20,1,NONE,,UNPROTECTED DUGWELL,0,YES,,,,,,,,,,
99-52-98-92,0502-004-001,FREE,,,5000,0,0,5,0,BAKED/BURNT BRICKS,METAL SHEETS (GCI),EARTH,HEAPED IN COMPOUND,NO TOILET,,,,,,,,,OTHER (SPECIFY),FIREWOOD,STONE/OPEN FIRE STOVE,SOLAR,SOLAR PANELS,"SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNELS)",ELSWHERE,1,8,2,BOIL,,"SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNELS)",0,YES,,,,,,,,,,
20-96-70-22,0503-001-001,OWNER OCCUPIED,NO DOCUMENTATION AT ALL,,10000,0,0,3,0,MUD BRICKS,MUD AND GRASS,EARTH,HEAPED IN COMPOUND,PIT LATRINE WITH SLAB (NOT WASHABLE),PIT LATRINE,"NO, NEVER EMPTIED",,NO,YES,NO,NO,,NO CHILDREN,FIREWOOD,STONE/OPEN FIRE STOVE,TORCH,,UNPROTECTED DUGWELL,ELSWHERE,1,30,5,BOIL,,UNPROTECTED DUGWELL,0,YES,,,,,,,,,,
65-14-61-05,0504-008-001,OWNER OCCUPIED,NO DOCUMENTATION AT ALL,,10000,0,0,4,3,MUD BRICKS,METAL SHEETS (GCI),EARTH,HEAPED IN COMPOUND,FLUSH TOILET,IN OWN SEPTIC TANK,"NO, NEVER EMPTIED",,NO,YES,NO,NO,,NO CHILDREN,FIREWOOD,STONE/OPEN FIRE STOVE,ELECTRICITY,TANESCO,RAINWATER COLLECTION,IN OWN YARD/PLOT,,,,NONE,,RAINWATER COLLECTION,0,NO,CONVENIENCE,UNPROTECTED DUGWELL,ELSWHERE,8,10,5,NONE,,UNPROTECTED DUGWELL,0
35-13-18-76,0504-008-008,FREE,,,30000,0,0,1,0,"CONCRETE, CEMENT, STONES",METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",COLLECTED BY PRIVATE COMPANY,FLUSH TOILET,IN OWN SEPTIC TANK,DON'T KNOW,,NO,YES,NO,YES,3,NO CHILDREN,CHARCOAL,MANUFACTURED STOVE,ELECTRICITY,TANESCO,BOTTLED WATER,ELSWHERE,1,0,0,NONE,,TANKER-TRUCK,0,YES,,,,,,,,,,
08-87-48-82,0505-001-001,OWNER OCCUPIED,NO DOCUMENTATION AT ALL,,20000,0,0,3,0,MUD BRICKS,"GRASS, LEAVES, BAMBOO",EARTH,HEAPED IN COMPOUND,PIT LATRINE WITH SLAB (NOT WASHABLE),PIT LATRINE,"NO, NEVER EMPTIED",,NO,YES,NO,NO,,CHILD USED TOILET OR LATRINE,FIREWOOD,STONE/OPEN FIRE STOVE,LAMP OIL,,UNPROTECTED DUGWELL,ELSWHERE,1,65,5,BOIL,,UNPROTECTED DUGWELL,0,YES,,,,,,,,,,
83-21-21-03,0505-001-002,OWNER OCCUPIED,NO DOCUMENTATION AT ALL,,5000,0,0,2,0,MUD BRICKS,"GRASS, LEAVES, BAMBOO",EARTH,HEAPED IN COMPOUND,PIT LATRINE WITH SLAB (NOT WASHABLE),PIT LATRINE,"NO, NEVER EMPTIED",,NO,YES,NO,NO,,CHILD USED TOILET OR LATRINE,FIREWOOD,STONE/OPEN FIRE STOVE,SOLAR,SOLAR PANELS,UNPROTECTED DUGWELL,ELSWHERE,1,25,5,NONE,,UNPROTECTED DUGWELL,0,YES,,,,,,,,,,
